Date,Value,Anomaly
189512,52.5,-2.5
189612,54.3,-0.7
189712,53.6,-1.4
189812,54.8,-0.2
189912,53.5,-1.5
190012,55.3,0.3
190112,52.8,-2.2
190212,53.6,-1.4
190312,53.4,-1.6
190412,51,-4
190512,53,-2
190612,54.5,-0.5
190712,52.1,-2.9
190812,54.3,-0.7
190912,53.9,-1.1
191012,53.8,-1.2
191112,54.9,-0.1
191212,53.1,-1.9
191312,55.9,0.9
191412,53.5,-1.5
191512,53.8,-1.2
191612,53.1,-1.9
191712,51.4,-3.6
191812,53.8,-1.2
191912,54.7,-0.3
192012,53.1,-1.9
192112,56.5,1.5
192212,55,0
192312,54.6,-0.4
192412,52.7,-2.3
192512,54.4,-0.6
192612,52.8,-2.2
192712,54.5,-0.5
192812,54.3,-0.7
192912,54.7,-0.3
193012,55.6,0.6
193112,56.8,1.8
193212,55.7,0.7
193312,55.5,0.5
193412,54.2,-0.8
193512,53.9,-1.1
193612,54.2,-0.8
193712,54.7,-0.3
193812,55.7,0.7
193912,55.7,0.7
194012,52.6,-2.4
194112,55.5,0.5
194212,55.1,0.1
194312,54.6,-0.4
194412,54.7,-0.3
194512,54.8,-0.2
194612,55.9,0.9
194712,54.2,-0.8
194812,54.5,-0.5
194912,56.8,1.8
195012,54.2,-0.8
195112,55.2,0.2
195212,55.7,0.7
195312,56.7,1.7
195412,55.8,0.8
195512,55,0
195612,55,0
195712,55.7,0.7
195812,53.3,-1.7
195912,56.4,1.4
196012,54.1,-0.9
196112,54.5,-0.5
196212,53.6,-1.4
196312,53.6,-1.4
196412,55,0
196512,54.7,-0.3
196612,54.1,-0.9
196712,53.5,-1.5
196812,54.7,-0.3
196912,54.4,-0.6
197012,54.9,-0.1
197112,55.3,0.3
197212,54.3,-0.7
197312,56.5,1.5
197412,55.3,0.3
197512,55.7,0.7
197612,54.2,-0.8
197712,55.1,0.1
197812,53.8,-1.2
197912,54.6,-0.4
198012,54.8,-0.2
198112,54.5,-0.5
198212,54.7,-0.3
198312,55.4,0.4
198412,55.2,0.2
198512,56.1,1.1
198612,55.9,0.9
198712,56.1,1.1
198812,55,0
198912,54.9,-0.1
199012,58,3
199112,57.8,2.8
199212,55.1,0.1
199312,55.4,0.4
199412,55.7,0.7
199512,55.8,0.8
199612,54.3,-0.7
199712,55.4,0.4
199812,58.5,3.5
199912,56.9,1.9
200012,55.5,0.5
200112,56.8,1.8
200212,57.5,2.5
200312,55,0
200412,56.4,1.4
200512,56.6,1.6
200612,58.3,3.3
200712,57.2,2.2
200812,56.8,1.8
200912,55.8,0.8
201012,57.6,2.6
201112,58.1,3.1
201212,59.2,4.2
201312,56.3,1.3
201412,54.8,-0.2
201512,56.8,1.8
201612,57.8,2.8
201712,58,3
201812,57.2,2.2
