geoid10,name,population_2010
245100101001000,"Block 1000, Block Group 1, Census Tract 101, Baltimore city, Maryland",84
245100101001001,"Block 1001, Block Group 1, Census Tract 101, Baltimore city, Maryland",70
245100101001002,"Block 1002, Block Group 1, Census Tract 101, Baltimore city, Maryland",75
245100101001003,"Block 1003, Block Group 1, Census Tract 101, Baltimore city, Maryland",88
245100101001004,"Block 1004, Block Group 1, Census Tract 101, Baltimore city, Maryland",75
245100101001005,"Block 1005, Block Group 1, Census Tract 101, Baltimore city, Maryland",87
245100101001006,"Block 1006, Block Group 1, Census Tract 101, Baltimore city, Maryland",74
245100101001007,"Block 1007, Block Group 1, Census Tract 101, Baltimore city, Maryland",0
245100101001008,"Block 1008, Block Group 1, Census Tract 101, Baltimore city, Maryland",77
245100101001009,"Block 1009, Block Group 1, Census Tract 101, Baltimore city, Maryland",42
245100101001010,"Block 1010, Block Group 1, Census Tract 101, Baltimore city, Maryland",20
245100101001011,"Block 1011, Block Group 1, Census Tract 101, Baltimore city, Maryland",29
245100101001012,"Block 1012, Block Group 1, Census Tract 101, Baltimore city, Maryland",41
245100101001013,"Block 1013, Block Group 1, Census Tract 101, Baltimore city, Maryland",75
245100101001014,"Block 1014, Block Group 1, Census Tract 101, Baltimore city, Maryland",66
245100101001015,"Block 1015, Block Group 1, Census Tract 101, Baltimore city, Maryland",101
245100101001016,"Block 1016, Block Group 1, Census Tract 101, Baltimore city, Maryland",26
245100101001017,"Block 1017, Block Group 1, Census Tract 101, Baltimore city, Maryland",55
245100101001018,"Block 1018, Block Group 1, Census Tract 101, Baltimore city, Maryland",50
245100101002000,"Block 2000, Block Group 2, Census Tract 101, Baltimore city, Maryland",86
245100101002001,"Block 2001, Block Group 2, Census Tract 101, Baltimore city, Maryland",34
245100101002002,"Block 2002, Block Group 2, Census Tract 101, Baltimore city, Maryland",88
245100101002003,"Block 2003, Block Group 2, Census Tract 101, Baltimore city, Maryland",74
245100101002004,"Block 2004, Block Group 2, Census Tract 101, Baltimore city, Maryland",93
245100101002005,"Block 2005, Block Group 2, Census Tract 101, Baltimore city, Maryland",87
245100101002006,"Block 2006, Block Group 2, Census Tract 101, Baltimore city, Maryland",65
245100101002007,"Block 2007, Block Group 2, Census Tract 101, Baltimore city, Maryland",47
245100101002008,"Block 2008, Block Group 2, Census Tract 101, Baltimore city, Maryland",43
245100101002009,"Block 2009, Block Group 2, Census Tract 101, Baltimore city, Maryland",18
