state,city,historical_100,no_action_100_mid_century
AL,Anniston-Oxford,10,62
AL,Auburn,7,53
AL,Birmingham,13,68
AL,Daphne-Fairhope,13,78
AL,Decatur,10,62
AL,Dothan,15,75
AL,Florence,13,68
AL,Gadsden,12,66
AL,Huntsville,6,55
AL,Mobile,10,73
AL,Montgomery,18,77
AL,Tuscaloosa,19,78
AR,Conway,26,81
AR,Fayetteville-Springdale-Rogers,8,56
AR,Fort Smith,28,82
AR,Hot Springs,28,81
AR,Jonesboro,17,71
AR,Little Rock,23,79
AR,Pine Bluff,24,82
AZ,Avondale-Goodyear,62,111
AZ,Casa Grande,68,116
AZ,Flagstaff,0,0
AZ,Lake Havasu City,58,106
AZ,Phoenix-Mesa,51,105
AZ,Prescott Valley-Prescott,0,3
AZ,Sierra Vista,0,14
AZ,Tucson,15,73
AZ,Yuma,78,119
CA,Antioch,3,19
CA,Arroyo Grande-Grover Beach,0,0
CA,Bakersfield,13,57
CA,Camarillo,0,4
CA,Chico,10,51
CA,Concord,0,8
CA,Davis,7,36
CA,Delano,16,60
CA,El Centro-Calexico,80,122
CA,El Paso de Robles (Paso Robles)-Atascadero,1,11
CA,Fairfield,3,19
CA,Fresno,14,58
CA,Gilroy-Morgan Hill,0,8
CA,Hanford,12,53
CA,Hemet,10,46
CA,Indio-Cathedral City,76,121
CA,Lancaster-Palmdale,3,29
CA,Livermore,1,11
CA,Lodi,4,26
CA,Lompoc,0,0
CA,Los Angeles-Long Beach-Anaheim,1,11
CA,Madera,14,57
CA,Manteca,6,33
CA,Merced,8,42
CA,Mission Viejo-Lake Forest-San Clemente,0,3
CA,Modesto,5,32
CA,Murrieta-Temecula-Menifee,12,50
CA,Napa,0,9
CA,Oxnard,0,3
CA,Petaluma,0,3
CA,Porterville,13,61
CA,Redding,12,52
CA,Riverside-San Bernardino,4,32
CA,Sacramento,6,33
CA,Salinas,0,0
CA,San Diego,0,7
CA,San Francisco-Oakland,0,1
CA,San Jose,0,3
CA,San Luis Obispo,0,0
CA,Santa Barbara,0,0
CA,Santa Clarita,1,20
CA,Santa Cruz,0,3
CA,Santa Maria,0,0
CA,Santa Rosa,0,3
CA,Seaside-Monterey,0,0
CA,Simi Valley,3,21
CA,Stockton,6,32
CA,Thousand Oaks,3,16
CA,Tracy,6,33
CA,Turlock,5,33
CA,Vacaville,7,34
CA,Vallejo,0,6
CA,Victorville-Hesperia,1,20
CA,Visalia,13,55
CA,Watsonville,0,2
CA,Woodland,10,44
CA,Yuba City,9,46
CO,Boulder,0,1
CO,Colorado Springs,0,0
CO,Denver-Aurora,0,1
CO,Fort Collins,0,1
CO,Grand Junction,0,6
CO,Greeley,0,4
CO,Lafayette-Louisville-Erie,0,2
CO,Longmont,0,2
CO,Pueblo,0,6
CT,Bridgeport-Stamford,1,18
CT,Danbury,1,18
CT,Hartford,0,15
CT,New Haven,0,15
CT,Norwich-New London,0,12
CT,Waterbury,0,13
DC,Washington,5,37
DE,Dover,4,31
FL,Bonita Springs,29,132
FL,Cape Coral,26,125
FL,Deltona,17,90
FL,Fort Walton Beach-Navarre-Wright,7,74
FL,Gainesville,18,95
FL,Homosassa Springs-Beverly Hills-Citrus Springs,20,104
FL,Jacksonville,16,83
FL,Kissimmee,25,111
FL,Lady Lake-The Villages,26,108
FL,Lakeland,25,114
FL,Leesburg-Eustis-Tavares,20,101
FL,Miami,16,114
FL,North Port-Port Charlotte,36,130
FL,Ocala,20,102
FL,Orlando,22,107
FL,Palm Bay-Melbourne,10,89
FL,Palm Coast-Daytona Beach-Port Orange,9,78
FL,Panama City,9,77
FL,Pensacola,9,82
FL,Port St. Lucie,14,110
FL,Sarasota-Bradenton,24,122
FL,Sebastian-Vero Beach South-Florida Ridge,10,95
FL,Sebring-Avon Park,29,118
FL,Spring Hill,36,125
FL,St. Augustine,10,78
FL,Tallahassee,21,89
FL,Tampa-St. Petersburg,30,123
FL,Titusville,22,102
FL,Winter Haven,25,113
FL,Zephyrhills,30,119
GA,Albany,25,89
GA,Athens-Clarke County,10,56
GA,Atlanta,6,46
GA,Augusta-Richmond County,15,68
GA,Brunswick,23,90
GA,Cartersville,7,52
GA,Columbus,14,69
GA,Dalton,8,56
GA,Gainesville,3,34
GA,Hinesville,30,95
GA,Macon,18,74
GA,Rome,8,54
GA,Savannah,18,78
GA,Valdosta,20,87
GA,Warner Robins,19,76
IA,Ames,4,31
IA,Cedar Rapids,6,32
IA,Davenport,6,33
IA,Des Moines,5,33
IA,Dubuque,4,28
IA,Iowa City,7,37
IA,Sioux City,5,29
IA,Waterloo,4,27
ID,Boise City,0,11
ID,Coeur d'Alene,0,3
ID,Idaho Falls,0,2
ID,Lewiston,2,20
ID,Nampa,0,18
ID,Pocatello,0,4
IL,Alton,10,54
IL,Bloomington-Normal,7,41
IL,Carbondale,11,60
IL,Champaign,5,39
IL,Chicago,3,26
IL,Danville,6,41
IL,Decatur,8,45
IL,DeKalb,3,24
IL,Kankakee,6,35
IL,Peoria,6,37
IL,Rockford,4,25
IL,Round Lake Beach-McHenry-Grayslake,3,22
IL,Springfield,6,43
IN,Anderson,3,27
IN,Bloomington,5,43
IN,Columbus,4,38
IN,Elkhart,3,25
IN,Evansville,9,56
IN,Fort Wayne,2,24
IN,Indianapolis,3,31
IN,Kokomo,3,29
IN,Lafayette,4,33
IN,Michigan City-La Porte,2,22
IN,Muncie,3,26
IN,South Bend,2,23
IN,Terre Haute,6,44
KS,Lawrence,15,60
KS,Manhattan,13,54
KS,Topeka,12,55
KS,Wichita,11,55
KY,Bowling Green,12,63
KY,Elizabethtown-Radcliff,4,46
KY,Lexington-Fayette,2,35
KY,Louisville-Jefferson County,5,48
KY,Owensboro,12,59
LA,Alexandria,35,101
LA,Baton Rouge,22,96
LA,Hammond,28,101
LA,Houma,21,95
LA,Lafayette,26,99
LA,Lake Charles,31,103
LA,Mandeville-Covington,27,102
LA,Monroe,35,96
LA,New Orleans,22,97
LA,Shreveport,30,94
LA,Slidell,21,94
MA,Barnstable Town,0,5
MA,Boston,1,15
MA,Leominster-Fitchburg,0,9
MA,New Bedford,1,13
MA,Pittsfield,0,5
MA,Springfield,0,16
MA,Worcester,0,10
MD,Aberdeen-Bel Air South-Bel Air North,7,39
MD,Baltimore,6,37
MD,Cumberland,2,23
MD,Frederick,5,40
MD,Hagerstown,3,31
MD,Lexington Park-California-Chesapeake Ranch Estates,3,33
MD,Salisbury,8,40
MD,Waldorf,5,37
MD,Westminster-Eldersburg,4,33
ME,Bangor,0,5
ME,Lewiston,0,8
ME,Portland,0,4
MI,Ann Arbor,1,19
MI,Battle Creek,1,19
MI,Bay City,1,14
MI,Benton Harbor-St. Joseph-Fair Plain,3,23
MI,Detroit,1,15
MI,Flint,1,14
MI,Grand Rapids,1,15
MI,Holland,1,17
MI,Jackson,1,16
MI,Kalamazoo,2,22
MI,Lansing,1,15
MI,Midland,2,18
MI,Monroe,3,25
MI,Muskegon,0,10
MI,Port Huron,1,16
MI,Saginaw,2,19
MI,South Lyon-Howell,1,14
MN,Duluth,0,4
MN,Mankato,2,20
MN,Minneapolis-St. Paul,2,20
MN,Rochester,2,20
MN,St. Cloud,1,15
MO,Cape Girardeau,13,65
MO,Columbia,10,54
MO,Jefferson City,9,54
MO,Joplin,13,63
MO,Kansas City,11,53
MO,Lee's Summit,11,53
MO,Springfield,7,52
MO,St. Joseph,10,50
MO,St. Louis,11,57
MS,Gulfport,18,92
MS,Hattiesburg,17,82
MS,Jackson,21,85
MS,Pascagoula,16,86
MT,Billings,0,6
MT,Great Falls,0,2
MT,Missoula,0,2
NC,Asheville,0,15
NC,Burlington,7,49
NC,Charlotte,7,47
NC,Concord,7,49
NC,Durham,9,51
NC,Fayetteville,12,58
NC,Gastonia,6,48
NC,Goldsboro,14,61
NC,Greensboro,4,40
NC,Greenville,12,55
NC,Hickory,3,39
NC,High Point,5,41
NC,Jacksonville,14,63
NC,New Bern,14,61
NC,Raleigh,9,49
NC,Rocky Mount,14,60
NC,Wilmington,8,59
NC,Winston-Salem,3,38
ND,Bismarck,0,12
ND,Fargo,1,14
ND-MN,Grand Forks,1,11
NE,Grand Island,4,31
NE,Lincoln,8,40
NE,Omaha,6,35
NH,Dover-Rochester,1,15
NH,Manchester,0,11
NH,Nashua,0,13
NH,Portsmouth,0,10
NJ,Atlantic City,3,22
NJ,Trenton,3,27
NJ,Twin Rivers-Hightstown,3,26
NJ,Villas,1,15
NJ,Vineland,6,34
NM,Albuquerque,0,6
NM,Farmington,0,2
NM,Las Cruces,0,23
NM,Los Lunas,0,11
NM,Santa Fe,0,0
NV,Carson City,0,1
NV,Las Vegas-Henderson,18,71
NV,Reno,0,2
NY,Albany-Schenectady,0,15
NY,Binghamton,0,8
NY,Buffalo,0,8
NY,Elmira,0,12
NY,Glens Falls,0,14
NY,Ithaca,0,10
NY,Kingston,1,21
NY,Middletown,1,21
NY,Poughkeepsie-Newburgh,1,18
NY,Rochester,0,12
NY,Saratoga Springs,0,17
NY,Syracuse,0,13
NY,Utica,0,12
NY,Watertown,0,7
NY-NJ,New York-Newark,2,18
OH,Akron,0,16
OH,Canton,0,15
OH,Cincinnati,4,35
OH,Cleveland,0,12
OH,Columbus,1,24
OH,Dayton,2,28
OH,Lima,2,24
OH,Lorain-Elyria,1,18
OH,Mansfield,0,15
OH,Middletown,3,33
OH,Newark,1,23
OH,Springfield,1,23
OH,Toledo,2,23
OH,Youngstown,0,16
OK,Lawton,23,77
OK,Norman,20,72
OK,Oklahoma City,18,69
OK,Tulsa,25,78
OR,Albany,0,3
OR,Bend,0,1
OR,Corvallis,0,3
OR,Eugene,0,4
OR,Grants Pass,1,14
OR,Medford,1,14
OR,Portland,0,4
OR,Salem,0,4
PA,Allentown,1,19
PA,Altoona,0,11
PA,Bloomsburg-Berwick,1,17
PA,Chambersburg,1,24
PA,East Stroudsburg,0,13
PA,Erie,0,4
PA,Hanover,3,30
PA,Harrisburg,2,26
PA,Hazleton,0,6
PA,Johnstown,0,8
PA,Lancaster,2,25
PA,Lebanon,2,22
PA,Monessen-California,1,21
PA,Philadelphia,4,29
PA,Pittsburgh,0,17
PA,Pottstown,3,27
PA,Reading,1,21
PA,Scranton,0,10
PA,State College,0,10
PA,Uniontown-Connellsville,0,15
PA,Williamsport,1,16
PA,York,3,29
RI,Providence,1,13
SC,Anderson,9,55
SC,Charleston-North Charleston,14,68
SC,Columbia,15,65
SC,Florence,16,67
SC,Greenville,5,45
SC,Hilton Head Island,12,70
SC,Mauldin-Simpsonville,5,42
SC,Myrtle Beach-Socastee,10,60
SC,Rock Hill,9,52
SC,Spartanburg,7,51
SC,Sumter,14,63
SD,Rapid City,0,5
SD,Sioux Falls,2,20
TN,Chattanooga,6,50
TN,Clarksville,12,64
TN,Cleveland,6,52
TN,Jackson,14,69
TN,Johnson City,0,23
TN,Kingsport,1,29
TN,Knoxville,3,45
TN,Memphis,19,74
TN,Morristown,2,40
TN,Murfreesboro,9,61
TN,Nashville-Davidson,8,59
TN-VA,Bristol,0,17
TX,Abilene,9,68
TX,Amarillo,0,17
TX,Austin,29,95
TX,Beaumont,39,107
TX,Brownsville,52,135
TX,College Station-Bryan,36,103
TX,Conroe-The Woodlands,42,110
TX,Corpus Christi,23,113
TX,Dallas-Fort Worth-Arlington,30,92
TX,Denton-Lewisville,28,90
TX,El Paso,1,34
TX,Harlingen,56,134
TX,Houston,36,109
TX,Killeen,22,86
TX,Lake Jackson-Angleton,52,121
TX,Laredo,62,122
TX,Longview,31,97
