name,holc_id,holc_grade,area_descr,15_count,15_sum,15_mean
,A1,A,"{ ""1"" : ""Baltimore, MD A 1"", ""10a"" : ""Good"", ""10b"" : ""Everything"", ""10c"" : ""Good"", ""11a"" : ""One family detached"", ""11b"" : ""10-15"", ""12a"" : ""yes"", ""12b"" : ""yes"", ""13"" : ""upward"", ""14"" : ""Mostly fee properties. A few homes valued at $10,000 to 15,000 along",49749484.000000000000000,27551084.000000000000000,0.553796377063931
,A2,A,"{ ""1"" : ""Baltimore, MD A 2"", ""10a"" : ""Good"", ""10b"" : """", ""10c"" : """", ""11a"" : ""Detached $8,000-$12,000"", ""11b"" : ""40 8,000-10,000"", ""12a"" : ""yes"", ""12b"" : ""yes"", ""13"" : ""upward"", ""14"" : ""A recent development with much room for expansion directly to the no",9445964.000000000000000,1937767.000000000000000,0.205142323218678
,A3,A,"{ ""1"" : ""Baltimore, MD A 3"", ""10a"" : ""Limited number of units"", ""10b"" : """", ""10c"" : """", ""11a"" : ""One family detached"", ""11b"" : ""55 over $9,000"", ""12a"" : ""yes"", ""12b"" : ""yes"", ""13"" : ""upward"", ""14"" : ""Principally fee property. This section lies in Baltimo",716937.000000000000000,386544.000000000000000,0.539160344632792
,A5,A,"{ ""1"" : ""Baltimore, MD A 5"", ""10a"" : ""Fair"", ""10b"" : ""Everything"", ""10c"" : ""Fair"", ""11a"" : ""One family detached"", ""11b"" : ""30-$7,250-15,000"", ""12a"" : ""yes"", ""12b"" : ""yes"", ""13"" : ""Upward"", ""14"" : ""Merridale recently developed. Prices do not include Merri",15743247.000000000000000,8197561.000000000000000,0.520703321239894
,A6,A,"{ ""1"" : ""Baltimore, MD A 6"", ""10a"" : """", ""10b"" : """", ""10c"" : """", ""11a"" : """", ""11b"" : """", ""12a"" : """", ""12b"" : """", ""13"" : """", ""14"" : ""Owned and controlled by the Roland Park Company. Developers apparently intend to keep the section comparable to Guilford.",29961029.000000000000000,9409136.000000000000000,0.314045822658494
,B1,B,"{ ""1"" : ""Baltimore, MD B 1"", ""10a"" : ""Fair"", ""10b"" : ""Everything"", ""10c"" : ""Fair"", ""11a"" : ""Singles 15,000-25,000"", ""11b"" : ""About 12 houses"", ""12a"" : ""yes"", ""12b"" : ""yes"", ""13"" : ""Static"", ""14"" : ""This section was completely built up in 1921. All fee pr",17384442.000000000000000,12508605.000000000000000,0.719528702733168
,B10,B,"{ ""1"" : ""Baltimore, MD B 10"", ""10a"" : ""Good"", ""10b"" : ""Everything"", ""10c"" : ""Good"", ""11a"" : ""Singles under 6,000"", ""11b"" : ""150"", ""12a"" : ""yes"", ""12b"" : ""yes"", ""13"" : ""static to upward"", ""14"" : ""Considered the best lending sectionin the city, Groun rent",177238381.000000000000000,59353693.000000000000000,0.334880586615153
,B11,B,"{ ""1"" : ""Baltimore, MD B 11"", ""10a"" : ""Good"", ""10b"" : ""Row 50"", ""10c"" : ""Good"", ""11a"" : """", ""11b"" : ""Nominal"", ""12a"" : ""yes"", ""12b"" : ""yes"", ""13"" : ""Upward"", ""14"" : ""Ground rents range from $72 to 95. Predominating $72."", ""15"" : ""Louis Kroner, property r",23758903.000000000000000,4546761.000000000000000,0.191370830547185
,B14,B,"{ ""1"" : ""Baltimore B 14"", ""10a"" : ""Good"", ""10b"" : ""Everything"", ""10c"" : ""Good"", ""11a"" : ""One family cottages"", ""11b"" : ""10-15"", ""12a"" : ""yes"", ""12b"" : ""yes"", ""13"" : ""Static to upward"", ""14"" : ""Principally fee property. Ground rents $120."", ""15"" : ""Louis",4045008.000000000000000,1434430.000000000000000,0.354617345627005
,B16,B,"{ ""1"" : ""Baltimore B 16"", ""10a"" : ""Good"", ""10b"" : ""Everything"", ""10c"" : ""Good"", ""11a"" : ""None"", ""11b"" : """", ""12a"" : ""yes"", ""12b"" : """", ""13"" : ""Static"", ""14"" : ""Many high-grade apartments are located along Charles and St. Paul streets. Ground rents range",3812744.000000000000000,703934.000000000000000,0.184626610126460
,B18,B,"{ ""1"" : ""Baltimore B 18"", ""10a"" : ""Good"", ""10b"" : ""Everything"", ""10c"" : ""Good"", ""11a"" : ""2 story rows"", ""11b"" : ""50-75"", ""12a"" : ""yes"", ""12b"" : ""yes"", ""13"" : ""Static to upward"", ""14"" : ""Ground rents range from $72 to 96. Predominating $90. A well develop",14260748.000000000000000,3056084.000000000000000,0.214300399950970
,B2,B,"{ ""1"" : ""Baltimore, MD B 2"", ""10a"" : ""Fair"", ""10b"" : ""Everything"", ""10c"" : ""Fair"", ""11a"" : ""Singles-brick and stone"", ""11b"" : ""10-9,000-12,000"", ""12a"" : ""yes"", ""12b"" : ""yes"", ""13"" : ""Static to upward"", ""14"" : ""Principally fee property."", ""15"" : ""Louis Kr",16591189.000000000000000,11741983.000000000000000,0.707724021467057
,B22,B,"{ ""1"" : ""Sub. Baltimore-Colonial Park. B 22"", ""10a"" : """", ""10b"" : """", ""10c"" : """", ""11a"" : """", ""11b"" : """", ""12a"" : """", ""12b"" : """", ""13"" : """", ""14"" : ""Still very sparsely settled, but mat be expected to develop into good character."", ""15"" : ""  "", ""2"" : """",",2862774.000000000000000,1617512.000000000000000,0.565015610732807
,B3,B,"{ ""1"" : ""Baltimore, MD B 3"", ""10a"" : ""Good"", ""10b"" : ""Singles 45.00"", ""10c"" : ""Good"", ""11a"" : ""singles"", ""11b"" : ""15-8,000"", ""12a"" : ""yes"", ""12b"" : ""yes"", ""13"" : ""Static to upward"", ""14"" : ""Section is very spotty with poor houses lying on low ground. Mos",59612682.000000000000000,22484811.000000000000000,0.377181670839772
,B4,B,"{ ""1"" : ""Baltimore, MD B 4"", ""10a"" : ""Good"", ""10b"" : ""Everything"", ""10c"" : ""fair"", ""11a"" : ""One family cotteges"", ""11b"" : """", ""12a"" : ""yes"", ""12b"" : ""yes"", ""13"" : ""Static to upward"", ""14"" : ""Ground rent range $90-120. Part of the section is outside Balti",88342743.000000000000000,33071889.000000000000000,0.374358864994717
,B5,B,"{ ""1"" : ""Baltimore, MD B 5"", ""10a"" : ""Good"", ""10b"" : ""$50 row"", ""10c"" : ""Good"", ""11a"" : ""none"", ""11b"" : """", ""12a"" : ""yes"", ""12b"" : """", ""13"" : ""static"", ""14"" : ""Ground rents 90-120. Principally 90."", ""15"" : ""Louis Kroner, property review appraiser H.O.L.C",16755001.000000000000000,5930678.000000000000000,0.353964646137592
,B6,B,"{ ""1"" : ""Baltimore, MD B 6"", ""10a"" : ""Good"", ""10b"" : ""Everything"", ""10c"" : ""Fair"", ""11a"" : ""2 story row"", ""11b"" : ""10-12"", ""12a"" : ""yes"", ""12b"" : ""yes"", ""13"" : ""Static to upward"", ""14"" : ""Three story houses on Reisterstown Road are 25 years old. Ground r",7844785.000000000000000,1369615.000000000000000,0.174589233484410
