STATEFP10,COUNTYFP10,TRACTCE10,BLOCKCE10,GEOID10,NAME10,MTFCC10,UR10,UACE10,UATYPE,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,07_mean
"24","510","250500","2060","245102505002060",Block 2060,G5040,R,,,S,"0","26532","+39.2083758","-076.5813304",0
"24","510","220100","3015","245102201003015",Block 3015,G5040,U,"04843",U,S,"0","6477","+39.2858679","-076.6064671",0
"24","510","250600","1003","245102506001003",Block 1003,G5040,U,"04843",U,S,"1446672","23378","+39.2453900","-076.5906237",0.120808575845793
"24","510","250301","1002","245102503011002",Block 1002,G5040,U,"04843",U,S,"0","371","+39.2686472","-076.6293326",0
"24","510","130600","1026","245101306001026",Block 1026,G5040,U,"04843",U,S,"0","3815","+39.3202699","-076.6292673",0.279592929833958
"24","510","200600","1000","245102006001000",Block 1000,G5040,U,"04843",U,S,"230","242","+39.2942162","-076.6698240",0
"24","510","250500","1097","245102505001097",Block 1097,G5040,U,"04843",U,S,"0","6577","+39.2046864","-076.5516636",0.056428944729296
"24","510","260605","6203","245102606056203",Block 6203,G5040,R,,,S,"0","7176","+39.2574323","-076.5687344",0
"24","510","260605","6178","245102606056178",Block 6178,G5040,U,"04843",U,S,"231215","7919","+39.2538013","-076.5406741",0.000268858563301
"24","510","250600","1103","245102506001103",Block 1103,G5040,R,,,S,"0","66525","+39.2454350","-076.6084468",0.001865814946351
"24","510","030200","2042","245100302002042",Block 2042,G5040,U,"04843",U,S,"0","40113","+39.2807846","-076.6021583",0
"24","510","260202","3030","245102602023030",Block 3030,G5040,U,"04843",U,S,"0","1618","+39.3211435","-076.5602194",0.488424197162061
"24","510","020300","3010","245100203003010",Block 3010,G5040,U,"04843",U,S,"0","189939","+39.2795910","-076.5897592",0.000275886088395
"24","510","250303","3008","245102503033008",Block 3008,G5040,U,"04843",U,S,"9","568","+39.2709953","-076.6476120",0
"24","510","230300","1023","245102303001023",Block 1023,G5040,U,"04843",U,S,"0","256","+39.2675441","-076.6257455",0
"24","510","120700","3012","245101207003012",Block 3012,G5040,U,"04843",U,S,"0","977","+39.3190976","-076.6282990",0.262457208063903
"24","510","230300","1014","245102303001014",Block 1014,G5040,U,"04843",U,S,"0","1305","+39.2676801","-076.6256381",0
"24","510","230300","1025","245102303001025",Block 1025,G5040,U,"04843",U,S,"0","9159","+39.2673472","-076.6231963",0
"24","510","210100","1065","245102101001065",Block 1065,G5040,U,"04843",U,S,"0","3380","+39.2716007","-076.6263006",0.057979775774896
"24","510","200600","1014","245102006001014",Block 1014,G5040,U,"04843",U,S,"0","1584","+39.2851590","-076.6598531",0.239354838709677
"24","510","200600","1021","245102006001021",Block 1021,G5040,U,"04843",U,S,"0","2566","+39.2835017","-076.6608058",0.433626397481819
"24","510","250500","2064","245102505002064",Block 2064,G5040,R,,,S,"0","4030","+39.2080110","-076.5812660",0
"24","510","271501","1033","245102715011033",Block 1033,G5040,U,"04843",U,S,"0","1456","+39.3675021","-076.6485772",0.13424447566739
"24","510","230300","1038","245102303001038",Block 1038,G5040,U,"04843",U,S,"0","48685","+39.2638951","-076.6225234",0.000616400450373
"24","510","230300","1012","245102303001012",Block 1012,G5040,U,"04843",U,S,"0","10199","+39.2684202","-076.6222260",0.000874476225178
"24","510","260605","6248","245102606056248",Block 6248,G5040,U,"04843",U,S,"0","13772","+39.2612701","-076.5730399",0
"24","510","250206","1003","245102502061003",Block 1003,G5040,U,"04843",U,S,"0","4313","+39.2759591","-076.6636059",0.929571397803145
"24","510","020300","2028","245100203002028",Block 2028,G5040,U,"04843",U,S,"0","8885","+39.2817238","-076.5993520",0.012245623575178
"24","510","160700","4012","245101607004012",Block 4012,G5040,U,"04843",U,S,"73","234","+39.3025382","-076.6740153",0.056952438654953
"24","510","250600","1009","245102506001009",Block 1009,G5040,R,,,S,"0","5984470","+39.2329752","-076.5544168",0
"24","510","250500","1011","245102505001011",Block 1011,G5040,U,"04843",U,S,"208002","2553","+39.2084710","-076.5359953",0.106527703866089
"24","510","250301","1018","245102503011018",Block 1018,G5040,U,"04843",U,S,"0","104039","+39.2638625","-076.6260835",0.001557429312891
"24","510","260605","6126","245102606056126",Block 6126,G5040,U,"04843",U,S,"0","11060","+39.2592654","-076.5355395",0.006661514423481
"24","510","260605","6186","245102606056186",Block 6186,G5040,U,"04843",U,S,"0","39230","+39.2561352","-076.5359811",0
"24","510","230300","1059","245102303001059",Block 1059,G5040,U,"04843",U,S,"0","346","+39.2689743","-076.6219497",0.032681489418698
"24","510","260605","6146","245102606056146",Block 6146,G5040,U,"04843",U,S,"0","10332","+39.2631650","-076.5567803",0
"24","510","210100","1085","245102101001085",Block 1085,G5040,U,"04843",U,S,"0","17641","+39.2704869","-076.6232340",0
"24","510","230300","1013","245102303001013",Block 1013,G5040,U,"04843",U,S,"0","8330","+39.2680483","-076.6251409",0.025094802587553
"24","510","250303","1006","245102503031006",Block 1006,G5040,U,"04843",U,S,"0","15195","+39.2699233","-076.6428354",0.338932063173728
"24","510","260605","6251","245102606056251",Block 6251,G5040,R,,,S,"0","141434","+39.2581475","-076.5704319",0
"24","510","250600","1104","245102506001104",Block 1104,G5040,U,"04843",U,S,"0","10784","+39.2466153","-076.6117688",7.7538079813e-05
"24","510","250206","1002","245102502061002",Block 1002,G5040,U,"04843",U,S,"0","10814","+39.2745817","-076.6589846",0.494377196072199
"24","510","260605","6217","245102606056217",Block 6217,G5040,U,"04843",U,S,"0","623306","+39.2685268","-076.5730880",0
"24","510","250500","2038","245102505002038",Block 2038,G5040,R,,,S,"0","1174","+39.2138634","-076.5874927",0
"24","510","250401","3008","245102504013008",Block 3008,G5040,U,"04843",U,S,"0","23256","+39.2385380","-076.6167955",0
"24","510","250500","1001","245102505001001",Block 1001,G5040,U,"04843",U,S,"566230","46816","+39.2140771","-076.5576833",0.207889737182542
"24","510","250301","1005","245102503011005",Block 1005,G5040,U,"04843",U,S,"0","458","+39.2689179","-076.6318843",0
