nsa_name,temp_mean,temp_median,temp_min,temp_max
Abell,35.95977189030671,35.9452877044678,35.1666717529297,35.9179649353027
Allendale,34.755296403086135,34.83530616760255,33.7552680969238,34.2667007446289
Arcadia,34.48060847265103,34.5755558013916,33.5774841308594,33.8192367553711
Arlington,35.30791665220776,35.31561374664305,34.6803436279297,34.8071365356445
Armistead Gardens,35.00923179905865,35.1152687072754,32.2358436584473,34.396167755127
Ashburton,34.67566861374224,34.5696983337402,33.8775939941406,34.3621444702148
Baltimore Highlands,35.834193132571464,35.8333692550659,35.2575340270996,35.4134979248047
Barclay,36.46933536737407,36.425490379333496,35.7833137512207,36.2843704223633
Barre Circle,35.36881266655534,35.3683948516846,35.0377464294434,35.1698875427246
Bayview,34.92595623970118,35.0068473815918,33.7816123962402,34.3614158630371
Beechfield,34.18462444093491,34.261116027832,31.83544921875,33.2835884094238
Belair-Edison,35.211078813564825,35.1855659484863,33.3195838928223,34.7789878845215
Belair-Parkside,34.28528598512746,34.2123966217041,33.0732231140137,34.1019744873047
Bellona-Gittings,34.14516054380069,34.1355075836182,33.3251037597656,33.8709449768066
Belvedere,34.34392268604057,34.3910083770752,33.1970672607422,34.0081825256348
Berea,35.42944290628562,35.1919708251953,34.5218048095703,34.8231315612793
Better Waverly,35.5126494160283,35.4754657745361,34.6999549865723,34.8708839416504
Beverly Hills,34.45529263029008,34.4208717346191,33.7047882080078,34.3463287353516
Biddle Street,36.61448275013848,36.6821727752686,34.6219367980957,36.2030982971191
Blythewood,33.9816613486776,33.9597473144531,30.7289333343506,33.9964485168457
Bolton Hill,35.56615654393051,35.5911560058594,34.6627807617188,35.2430152893066
Boyd-Booth,35.357414857654206,35.3281326293945,35.102954864502,35.324333190918
Brewers Hill,35.76795143503007,35.77011013031005,35.0027809143066,35.425952911377
Bridgeview/Greenlawn,35.1938962175238,35.2539520263672,33.680965423584,34.8310317993164
Broadway East,36.33167396048792,36.433711051940946,34.9801483154297,35.1675605773926
Broening Manor,35.07573382160133,35.09023475646975,34.1993026733398,34.7289581298828
Brooklyn,35.10654423895128,35.098201751709,33.1961326599121,34.5224380493164
Burleith-Leighton,35.03517098873278,35.0514144897461,33.9810791015625,35.0379371643066
Butcher's Hill,36.495907933829706,36.4329471588135,35.2903022766113,35.9336051940918
Callaway-Garrison,34.347945971702785,34.3295764923096,33.8902854919434,34.3095054626465
Cameron Village,34.427379052888206,34.45686149597165,34.1588973999023,34.3077926635742
Canton,35.30430032139535,35.3603096008301,33.541015625,34.3773918151855
Canton Industrial Area,34.92384060723833,34.88775730133055,32.7679557800293,34.2377471923828
CARE,36.49025811880449,36.17804050445555,35.4929656982422,35.7410163879395
Carroll - Camden Industrial Area,35.28759786401835,35.2452049255371,34.0797309875488,34.9810447692871
Carroll Park,35.12351632743856,34.9917469024658,33.6831855773926,35.052806854248
Carroll-South Hilton,34.83060655595718,34.94046115875245,31.5459842681885,33.7386512756348
Carrollton Ridge,35.59229722699809,35.6172122955322,34.6623039245605,35.085765838623
Cedarcroft,33.99086719141198,34.010160446167,32.9819107055664,33.8352470397949
Cedmont,34.67944439280193,34.5668392181396,34.0912628173828,34.4763717651367
Cedonia,34.86819427272468,34.9758682250977,31.4503974914551,34.5700187683105
Central Forest Park,34.234203302316075,34.2610397338867,33.196720123291,34.0974617004395
Central Park Heights,35.11287478970973,35.1401844024658,34.0806350708008,34.736026763916
Charles North,36.3366758788515,36.35130977630615,35.0523529052734,35.8330879211426
Charles Village,35.94681850067229,36.0655851364136,34.7919845581055,35.6057014465332
Cherry Hill,35.15371755646066,35.1442174911499,33.4186096191406,34.7638320922852
Cheswolde,34.10152392502077,34.1035766601562,30.6566524505615,33.8294982910156
Chinquapin Park,34.53749991153225,34.4885864257812,33.5896492004395,34.3106994628906
Clifton Park,35.24149790424285,35.1603164672852,33.3190650939941,35.0581741333008
Coldspring,34.1652828720087,34.2289085388184,30.6544971466064,33.9689979553223
Coldstream Homestead Montebello,35.50972924121764,35.4055919647217,34.5564651489258,34.8636932373047
Concerned Citizens Of Forest Park,34.18523360125229,34.175582885742145,33.5258865356445,34.1527137756348
Coppin Heights/Ash-Co-East,35.04886384379734,35.2664527893066,33.4182662963867,34.3577308654785
Cross Country,34.25943287426714,34.2621440887451,32.9527854919434,33.9917488098145
Cross Keys,34.541955089323686,34.56646156311035,32.189037322998,34.0070419311523
Curtis Bay,35.06682413825122,35.071403503418,32.4332122802734,34.5671920776367
Curtis Bay Industrial Area,35.243625540566725,35.3570766448975,33.8078994750977,34.941291809082
Cylburn,34.75665239945364,34.82421875,33.7362785339355,34.4331474304199
Darley Park,35.94310586457773,35.9272384643555,35.5474243164062,35.9728584289551
Dickeyville,32.782178099197886,32.42977428436275,30.6226272583008,32.5970993041992
Dolfield,35.14762755037393,35.20939540863035,34.2660942077637,34.898193359375
Dorchester,34.47900000570356,34.45219802856445,34.0990753173828,34.2630500793457
Downtown,35.699833504294425,35.52958011627195,34.0370483398438,34.9446220397949
Downtown West,35.323774153699816,35.2986755371094,34.1972770690918,34.9736251831055
Druid Heights,35.564047166207835,35.57352447509765,35.2153549194336,35.4177284240723
Druid Hill Park,34.74294541369638,34.6077613830566,30.9798164367676,33.4041519165039
Dunbar-Broadway,36.85780327284504,37.0415077209473,35.0946426391602,35.5623664855957
Dundalk Marine Terminal,34.656122001661934,34.6541595458984,33.8328819274902,34.1877174377441
East Arlington,34.85661367451192,34.8021659851074,33.5918121337891,33.9814071655273
East Baltimore Midway,36.11762816330072,36.20917892456055,34.9974784851074,35.3114166259766
Easterwood,35.36331445647663,35.4251937866211,34.2140617370605,35.2033653259277
Eastwood,35.30881473509018,35.155241966247544,34.809928894043,35.2607841491699
Edgewood,34.883094289185976,34.9355659484863,33.8069114685059,34.5321311950684
Edmondson Village,34.899854854298226,34.9906692504883,32.6266784667969,34.2638359069824
Ednor Gardens-Lakeside,35.026543767067835,34.9921455383301,34.288158416748,34.517391204834
Ellwood Park/Monument,36.850213052862934,36.8486557006836,35.8317565917969,36.5858688354492
Evergreen,34.093229653780185,34.3039512634277,30.7764625549316,34.2976417541504
Evergreen Lawn,35.436054335693264,35.43625164031985,35.1218643188477,35.4163284301758
Evesham Park,34.43840475319251,34.4344882965088,33.9031105041504,34.3037376403809
Fairfield Area,35.19807598241926,35.2042083740234,31.64919090271,34.7882652282715
Fairmont,32.82097625160967,32.77402114868165,30.7301731109619,32.6746101379395
Fallstaff,34.81660969036299,34.8171081542969,34.2508506774902,34.6699905395508
Federal Hill,35.14548626566651,35.1486930847168,34.116771697998,34.8821868896484
Fells Point,34.94813466666128,35.066752433776855,33.2233695983887,34.5440292358398
Forest Park,34.353977316384125,34.3845024108887,33.0850524902344,33.9917259216309
Forest Park Golf Course,34.2007543756955,34.1823425292969,33.3181381225586,34.267147064209
Four By Four,35.3146894596255,35.2990732192993,35.0026473999023,35.1804885864258
Frankford,34.83442837795017,34.8228454589844,32.4409255981445,34.2334938049316
Franklin Square,35.19580648311058,35.2308464050293,33.8982810974121,34.4592971801758
Franklintown,33.56470937136844,33.90868759155275,30.6625633239746,32.1543846130371
Franklintown Road,34.62643000275932,34.60806655883785,33.3798866271973,34.6218070983887
Garwyn Oaks,34.03891044317528,34.0862045288086,32.9587478637695,33.8568992614746
Gay Street,35.93982883577063,36.0241985321045,35.0707244873047,35.6107940673828
Glen,34.58979692503764,34.60735130310055,33.4130096435547,34.0488128662109
Glen Oaks,34.370420604284384,34.30955410003665,33.3140182495117,34.2296752929688
Glenham-Belhar,34.54076164813871,34.3954315185547,33.6609954833984,34.2052230834961
Graceland Park,35.02537257430034,35.04520416259765,34.2251663208008,34.5535736083984
Greektown,35.60757118723508,35.661053657531696,34.220890045166,34.7582778930664
Greenmount Cemetery,35.427995331815296,35.3896331787109,34.9370574951172,35.2267265319824
Greenmount West,36.31017905421726,36.2371559143066,36.0744514465332,36.2146148681641
Greenspring,34.74011541650589,34.732519149780245,34.0799713134766,34.4496421813965
Grove Park,34.15982800653511,34.1661853790283,30.9284038543701,34.0049514770508
Guilford,34.2675656293879,34.263359069824205,31.2476825714111,34.083869934082
Gwynns Falls,34.99055939804181,34.955221176147504,33.8004341125488,34.9147300720215
Gwynns Falls/Leakin Park,32.636169863744776,31.846830368042,30.5757865905762,31.7234001159668
