ZCTA5CE10,GEOID10,CLASSFP10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,t_af_mean,t_af_median,t_af_min,t_af_max
"21207","21207",B5,G6350,S,"26705585","81230","+39.3241672","-076.7194841",33.317500570683,33.8138885498047,30.6226272583008,35.3044395446777
"21209","21209",B5,G6350,S,"18343962","101688","+39.3731913","-076.6700026",33.5453775082254,33.905517578125,30.6544971466064,36.1776657104492
"21210","21210",B5,G6350,S,"8590404","5595","+39.3591561","-076.6326854",33.8289058668922,34.1243705749512,30.6535530090332,36.30908203125
"21211","21211",B5,G6350,S,"7217872","25184","+39.3298170","-076.6394081",34.6440268915441,34.8748626708984,30.8289432525635,37.6225509643555
"21215","21215",B5,G6350,S,"17646082","9673","+39.3452409","-076.6835656",34.745045537157,34.7936458587646,30.9284038543701,36.1827354431152
"21216","21216",B5,G6350,S,"8635708","145490","+39.3105945","-076.6717168",34.2060236673044,34.4377059936523,30.6372966766357,36.5386848449707
"21229","21229",B5,G6350,S,"15228872","9461","+39.2842394","-076.6914035",34.0272447807359,34.3404693603516,30.3350372314453,36.5809326171875
"21201","21201",B5,G6350,S,"3346928","0","+39.2948226","-076.6222236",35.5576838983428,35.5000038146973,33.9670143127441,39.3245277404785
"21202","21202",B5,G6350,S,"4104677","331280","+39.2965258","-076.6070163",35.9889991516588,36.174976348877,33.7679595947266,38.6500015258789
"21217","21217",B5,G6350,S,"5996500","191953","+39.3084728","-076.6391545",35.3827091789831,35.4264144897461,33.8639526367188,37.203067779541
"21218","21218",B5,G6350,S,"10835058","316361","+39.3301071","-076.6014512",35.1787801045186,35.128589630127,31.0047473907471,37.4961128234863
"21223","21223",B5,G6350,S,"6816138","48191","+39.2829512","-076.6538772",35.1911555870876,35.2497749328613,31.5459842681885,37.1375350952148
"21230","21230",B5,G6350,S,"16332049","5330203","+39.2661273","-076.6238067",35.1345923363676,35.1521682739258,33.0515899658203,37.0174026489258
"21205","21205",B5,G6350,S,"5309071","0","+39.3022903","-076.5644838",35.5367896309923,35.4119987487793,32.2358436584473,38.1032180786133
"21224","21224",B5,G6350,S,"24534479","8880469","+39.2748602","-076.5428334",35.1570623616026,35.1166496276855,32.7992362976074,38.4968795776367
"21231","21231",B5,G6350,S,"2256237","384066","+39.2872004","-076.5919534",35.7325357552594,35.527530670166,33.2233695983887,38.418327331543
"21228","21228",B5,G6350,S,"40152190","107562","+39.2728571","-076.7477405",33.9443206491724,34.0531597137451,32.2130699157715,34.5947570800781
"21222","21222",B5,G6350,S,"28394454","5705215","+39.2648400","-076.4925655",34.9299787107931,35.0342063903809,33.263858795166,36.228214263916
"21226","21226",B5,G6350,S,"25718275","17454348","+39.2088881","-076.5629259",35.0143900522627,35.0485191345215,32.2153701782227,36.4495697021484
"21225","21225",B5,G6350,S,"16768581","613825","+39.2261173","-076.6157349",35.0301433047478,35.0792789459229,32.8385124206543,36.5133476257324
"21212","21212",B5,G6350,S,"12021176","97318","+39.3685612","-076.6148978",34.2474851560617,34.2952518463135,32.8242301940918,35.5786170959473
"21214","21214",B5,G6350,S,"7392916","0","+39.3517934","-076.5643999",34.3393781346242,34.3146018981934,31.8504009246826,36.1388893127441
"21234","21234",B5,G6350,S,"33625986","11024","+39.3934171","-076.5342276",34.3280241015002,34.3333702087402,30.780876159668,35.2087364196777
"21239","21239",B5,G6350,S,"8377621","2110","+39.3670990","-076.5891708",34.3973006641527,34.5303192138672,30.6528930664062,35.4339294433594
"21251","21251",B5,G6350,S,"456625","0","+39.3447070","-076.5812420",34.2984949333413,34.515193939209,32.0271301269531,35.3340034484863
"21206","21206",B5,G6350,S,"18571036","3869","+39.3384283","-076.5388766",34.5612354904756,34.591365814209,30.7754707336426,36.392204284668
"21236","21236",B5,G6350,S,"22189007","27168","+39.3884211","-076.4835503",33.9553715157819,34.0946044921875,30.8017139434814,34.8469734191895
"21213","21213",B5,G6350,S,"8838038","1899","+39.3150310","-076.5774287",35.3629145064869,35.24001121521,31.2213306427002,37.458381652832
"21237","21237",B5,G6350,S,"29801576","659932","+39.3415368","-076.4952701",35.136110862354,35.154182434082,33.4531593322754,36.1462249755859
"21227","21227",B5,G6350,S,"29876646","556260","+39.2399698","-076.6794498",35.2710312477283,35.2874183654785,34.2794342041016,36.3196067810059
"21208","21208",B5,G6350,S,"31911112","65741","+39.3864250","-076.7211463",34.4748600376411,34.5206546783447,33.9494972229004,35.1519165039062
