nsa_name,temp_mean,temp_median,temp_min,temp_max
Abell,32.552575844533834,32.5287780761719,32.1936416625977,32.516658782959
Allendale,31.713834491951626,31.845541477203348,30.655252456665,30.9008274078369
Arcadia,31.14093541116992,31.26892042160035,30.167013168335,30.4475841522217
Arlington,31.986217309792497,31.9736957550049,31.4091167449951,31.6125507354736
Armistead Gardens,31.897739451394916,32.0143184661865,29.576976776123,31.5736427307129
Ashburton,31.45804714396549,31.3470230102539,30.9090061187744,31.1947269439697
Baltimore Highlands,33.045765059303626,33.123463630676255,32.3351783752441,32.5658531188965
Barclay,32.88454042975927,32.89667129516605,32.5601005554199,32.6879196166992
Barre Circle,32.808225133454876,32.9080238342285,32.0862655639648,32.4196968078613
Bayview,31.98679541563305,31.9259920120239,31.550256729126,31.8616638183594
Beechfield,30.672863434412573,30.7877702713013,28.4968490600586,29.6962699890137
Belair-Edison,32.09032602266158,32.0606079101562,31.0410194396973,31.3963661193848
Belair-Parkside,31.085981399508228,31.0495147705078,30.4171237945557,31.1027736663818
Bellona-Gittings,30.883078426213775,30.9759101867676,29.5372200012207,30.5134201049805
Belvedere,31.066926826997374,31.0526685714722,30.5703563690186,30.8006706237793
Berea,32.285393564072066,32.0804328918457,31.7034339904785,31.8413066864014
Better Waverly,32.19813892137581,32.1595077514648,31.6692295074463,31.974817276001
Beverly Hills,31.116812602955985,30.973575592041,30.4974670410156,30.8804931640625
Biddle Street,33.20883590489978,33.2450752258301,32.1172294616699,32.5209884643555
Blythewood,30.50862948030876,30.5089464187622,28.8399658203125,30.7201633453369
Bolton Hill,32.32671139210754,32.31788635253905,31.8372802734375,31.9210224151611
Boyd-Booth,32.39236822127541,32.2630157470703,32.106502532959,32.2607955932617
Brewers Hill,32.81765544912607,32.7983160018921,32.4210815429688,32.6074371337891
Bridgeview/Greenlawn,32.09881048194659,32.0691871643066,31.0580997467041,31.8212738037109
Broadway East,33.07649627380864,33.01299476623535,32.0281867980957,32.2340469360352
Broening Manor,32.0371381023787,32.092579841613755,31.5533561706543,31.6584796905518
Brooklyn,31.446498662979845,31.465124130249,28.9247093200684,30.2399997711182
Burleith-Leighton,31.60393729485793,31.6177186965942,31.0567436218262,31.3402328491211
Butcher's Hill,33.15409320895451,33.0119743347168,32.1160125732422,32.9893913269043
Callaway-Garrison,31.207687329107962,31.1935586929321,30.3513298034668,31.108606338501
Cameron Village,31.49604633013709,31.52007293701175,31.1177539825439,31.4030494689941
Canton,32.43555476370014,32.3985404968262,30.9825057983398,31.9352931976318
Canton Industrial Area,32.127207350074244,32.07339286804195,29.5716438293457,31.1792240142822
CARE,33.15034949844898,32.9443225860596,32.4863052368164,32.7123985290527
Carroll - Camden Industrial Area,32.25281012259955,32.2087917327881,31.4483394622803,31.9918537139893
Carroll Park,32.35763929714686,32.4633903503418,31.2251129150391,32.0188331604004
Carroll-South Hilton,31.83841915789088,31.85087490081785,30.0932331085205,30.9602966308594
Carrollton Ridge,32.65341160421023,32.6466932296753,31.7614364624023,32.0894889831543
Cedarcroft,30.4991371602574,30.549840927124002,29.2148036956787,30.0854568481445
Cedmont,30.99119197569119,30.87232780456545,30.1057167053223,30.6333427429199
Cedonia,31.52885564804765,31.4733467102051,29.7993392944336,31.160436630249
Central Forest Park,30.697735485725147,30.7332172393799,30.0100231170654,30.3461074829102
Central Park Heights,31.849301688923386,31.8669118881226,31.2497539520264,31.5394802093506
Charles North,32.67987264780146,32.6683988571167,32.1509819030762,32.3794021606445
Charles Village,32.560121697090345,32.643741607666,31.2840690612793,31.675479888916
Cherry Hill,31.70832523678851,31.697386741638148,28.8242092132568,31.2363090515137
Cheswolde,30.727206847557134,30.8301963806152,28.7661094665527,30.2999706268311
Chinquapin Park,31.346833067670993,31.3615856170654,30.6142807006836,30.9826774597168
Clifton Park,32.12480696492321,32.1013450622559,31.0368671417236,31.9539203643799
Coldspring,30.580463813394243,30.6406602859497,28.4078273773193,29.8202171325684
Coldstream Homestead Montebello,32.28378172462528,32.14433383941655,31.2324504852295,31.5130805969238
Concerned Citizens Of Forest Park,30.836934690127833,30.823625564575202,30.3507232666016,30.7062873840332
Coppin Heights/Ash-Co-East,32.008690409930935,32.0110816955566,29.7206764221191,31.3098258972168
Cross Country,30.97857302177265,30.9691333770752,29.057897567749,30.7880058288574
Cross Keys,30.748374192731287,30.6809034347534,29.0661201477051,30.4143142700195
Curtis Bay,31.540659807921415,31.4334964752197,29.0499858856201,30.318733215332
Curtis Bay Industrial Area,31.685161451084184,31.4193992614746,29.7540760040283,31.1196441650391
Cylburn,31.55490391753533,31.6339626312256,30.6117267608643,31.0618362426758
Darley Park,32.97315897205797,32.9632778167725,32.4018058776855,32.9584655761719
Dickeyville,29.465845906770763,29.1451139450073,28.2525100708008,28.9740428924561
Dolfield,31.604153738470554,31.8425693511963,30.370569229126,30.7421226501465
Dorchester,31.288441062871627,31.260044097900398,30.2912101745605,31.155460357666
Downtown,32.923897455820395,33.0017557144165,31.5613307952881,32.0351104736328
Downtown West,32.20889390799256,32.2495594024658,31.5294895172119,31.8034038543701
Druid Heights,32.393159596440846,32.3969554901123,31.9907836914062,32.2315826416016
Druid Hill Park,31.509680920578962,31.4575901031494,28.6481666564941,30.0906600952148
Dunbar-Broadway,33.609067631207886,33.6868515014648,32.4376335144043,32.6952133178711
Dundalk Marine Terminal,32.03045612035738,32.0456428527832,30.990140914917,31.7046871185303
East Arlington,31.777727539074462,31.8018665313721,30.8410301208496,30.8454074859619
East Baltimore Midway,32.75150950603355,32.753144264221206,31.928524017334,32.2247085571289
Easterwood,32.390037084102026,32.5941886901855,31.0664157867432,31.9759635925293
Eastwood,32.65696747652237,32.7432737350464,31.9882164001465,32.8095245361328
Edgewood,31.883568063103766,31.8240404129028,30.581729888916,31.2468166351318
Edmondson Village,31.65537145337,31.8201322555542,29.1139507293701,31.0135669708252
Ednor Gardens-Lakeside,31.57986932105673,31.507155418396,30.9780197143555,31.2312698364258
Ellwood Park/Monument,33.27628081651953,33.2736911773682,32.6970748901367,33.105884552002
Evergreen,30.6224369151281,30.84104347229,28.7814464569092,30.8621635437012
Evergreen Lawn,32.58904930170058,32.64724540710445,31.591739654541,32.4681129455566
Evesham Park,30.978801308628764,30.9697856903076,30.5216197967529,30.8403472900391
Fairfield Area,31.884140319968843,31.8955602645874,28.5950374603271,31.241662979126
Fairmont,29.528772012924712,29.42568826675415,28.0676326751709,29.3197841644287
Fallstaff,31.409484599811965,31.3712024688721,30.831600189209,31.1315498352051
Federal Hill,32.49808546005182,32.4430637359619,31.96897315979,32.1877708435059
Fells Point,32.229654601766924,32.21583557128905,30.9167804718018,32.025333404541
Forest Park,30.944107477890256,30.8731594085693,30.3947257995605,30.7337760925293
Forest Park Golf Course,30.850423153018312,30.9886703491211,30.1841468811035,30.8523960113525
Four By Four,32.102113011565216,32.1529483795166,31.7270927429199,31.9698104858398
Frankford,31.44432707365367,31.4002571105957,29.7553024291992,30.6662139892578
Franklin Square,32.561319009397565,32.6701717376709,31.4220161437988,31.7748641967773
Franklintown,29.951443943836267,30.2001762390137,27.529275894165,27.801570892334
Franklintown Road,31.84931991926863,31.8738203048706,30.9346904754639,31.6854705810547
Garwyn Oaks,30.86822665950652,30.8890333175659,30.315357208252,30.6134166717529
Gay Street,32.70105239885011,32.7214622497559,32.2430648803711,32.4409484863281
Glen,31.301302544826207,31.2875437736511,29.9263534545898,30.6737766265869
Glen Oaks,31.29182203360357,31.2156805992126,30.6383075714111,30.9041004180908
Glenham-Belhar,31.370448975333275,31.2836971282959,30.5244464874268,30.8773498535156
Graceland Park,31.87075002276284,31.85494804382325,31.3678035736084,31.7119235992432
Greektown,32.65258636447065,32.729721069335895,31.6693096160889,31.7949657440186
Greenmount Cemetery,32.020480806508345,31.8349752426147,31.3313369750977,31.6713161468506
Greenmount West,32.88291021868739,32.8865528106689,32.529239654541,32.6757774353027
Greenspring,31.49272377253933,31.51759386062625,30.7217273712158,31.0366592407227
Grove Park,30.9836469813637,30.9716711044312,28.5252571105957,30.9417858123779
Guilford,30.903168777683472,30.932615280151403,28.6698169708252,30.3220539093018
Gwynns Falls,31.857562211357422,31.789938449859648,30.9710330963135,31.67453956604
Gwynns Falls/Leakin Park,29.2536886010379,28.6828708648682,27.3236198425293,28.3151226043701
Hamilton Hills,31.262144751881994,31.2800827026367,30.0199699401855,30.5786304473877
Hampden,32.01941840965603,32.1467227935791,30.7130699157715,31.192512512207
Hanlon-Longwood,31.413923881959168,31.484020233154247,30.411434173584,30.8922996520996
Harlem Park,32.94857092832018,33.0062122344971,31.7843894958496,32.0414581298828
Harwood,32.69294961882328,32.674703598022504,32.3931159973145,32.6811103820801
Hawkins Point,31.45077932750046,31.4447536468506,28.8139305114746,30.8145942687988
Heritage Crossing,32.911516347132476,33.2099113464355,31.727783203125,32.8027725219727
Herring Run Park,30.418776459198376,30.4840016365051,28.5547409057617,30.8433399200439
Highlandtown,33.265252332151185,33.2919883728027,32.7420768737793,33.1166648864746
Hillen,31.79242013056469,31.789638519287102,31.2131862640381,31.432336807251
Hoes Heights,31.807215063806737,31.654260635376,30.9131107330322,31.3097190856934
Holabird Industrial Park,31.937662913043233,31.89935874938965,30.6688098907471,31.4325466156006
Hollins Market,32.067705523192565,32.0529909133911,31.7098731994629,31.9787330627441
Homeland,30.58465606506431,30.6137104034424,29.1308574676514,29.8460998535156
Hopkins Bayview,31.901085340798538,31.9161396026611,31.3159942626953,31.4643363952637
Howard Park,30.659330475869766,30.68853425979615,28.5798740386963,29.3867607116699
Hunting Ridge,30.609695143019575,30.8188400268555,27.5034465789795,30.2935733795166
Idlewood,31.149499174389977,31.1807384490967,29.9017028808594,30.4657173156738
Inner Harbor,32.27620318669084,32.1946449279785,31.3676433563232,31.8228492736816
Irvington,31.199534124919065,31.2779026031494,29.0729999542236,30.6409969329834
Johns Hopkins Homewood,31.57517474417915,31.592343807220452,30.0382232666016,31.0420875549316
Johnston Square,32.680806791688404,32.74665451049805,31.9177665710449,32.207893371582
Jones Falls Area,32.091549090282165,32.2923927307129,30.7333869934082,31.1326942443848
Jonestown,32.58615133966745,32.6187496185303,32.0082550048828,32.2367706298828
Kenilworth Park,31.28035402955845,31.2535858154297,30.8561840057373,31.1026992797852
Kernewood,31.099072717084486,30.9524726867676,30.5812435150146,30.9779872894287
Keswick,31.289731112946367,31.3960733413696,28.7254962921143,31.1308937072754
Kresson,32.68361816338819,32.6918411254883,31.796573638916,32.6493301391602
