nsa_name,temp_mean,temp_median,temp_min,temp_max
Abell,26.08589600020313,26.0868530273438,25.9393768310547,26.0289134979248
Allendale,25.4759495557682,25.4711480140686,24.9025459289551,25.3102169036865
Arcadia,24.9965624496699,25.038444519042947,24.3313331604004,24.6482257843018
Arlington,25.683149684894254,25.759433746337898,25.09006690979,25.34645652771
Armistead Gardens,25.54329212082393,25.4796113967896,24.2594108581543,24.9919872283936
Ashburton,25.142876164021096,25.0533924102783,24.6435298919678,24.8026962280273
Baltimore Highlands,26.843931022428627,26.8995203971863,26.4900932312012,26.592752456665
Barclay,26.555897272700086,26.516146659851103,26.3271408081055,26.4626865386963
Barre Circle,26.3902958929273,26.3970794677734,26.2743091583252,26.3344058990479
Bayview,26.736665261020057,26.7953357696533,26.3337593078613,26.6647891998291
Beechfield,25.284266199776365,25.2916984558105,24.3106498718262,24.8033924102783
Belair-Edison,26.1712313647987,26.1723327636719,24.4916000366211,25.1957263946533
Belair-Parkside,24.805396515469244,24.7222385406494,24.4249668121338,24.7644157409668
Bellona-Gittings,23.89659467485855,23.9090595245361,23.4462127685547,23.675724029541
Belvedere,24.744475463539462,24.7185564041138,24.2674694061279,24.4339866638184
Berea,26.547846850643186,26.602783203125,25.6943740844727,26.0815200805664
Better Waverly,26.088447448768058,26.000307559967,25.3931674957275,25.6812191009521
Beverly Hills,25.225820425723107,25.1625185012817,24.3877105712891,25.0813369750977
Biddle Street,26.854810720858016,26.8342990875244,26.4477005004883,26.6646308898926
Blythewood,23.9112893858944,23.8392848968506,23.686580657959,23.8472442626953
Bolton Hill,26.485654771033435,26.48920488357545,26.1772441864014,26.2001361846924
Boyd-Booth,26.044129608772657,26.0505838394165,25.8932971954346,26.0552730560303
Brewers Hill,26.955002789189837,26.94560527801515,26.785120010376,26.8586902618408
Bridgeview/Greenlawn,25.765486000716514,25.7992143630981,25.0577163696289,25.7267570495605
Broadway East,26.768071999784038,26.75922441482545,26.2578067779541,26.5075664520264
Broening Manor,26.70666369343221,26.72279691696165,26.3209838867188,26.5066509246826
Brooklyn,25.57991908961118,25.6008262634277,24.2576904296875,24.6202735900879
Burleith-Leighton,25.453792273796854,25.3721542358398,24.9701595306396,25.3685398101807
Butcher's Hill,26.81832757779252,26.8497371673584,26.2367706298828,26.5098705291748
Callaway-Garrison,25.07075284797932,25.115701675415,24.6472702026367,24.8303928375244
Cameron Village,25.254604940281254,25.28344440460205,24.8576431274414,25.1073207855225
Canton,26.714663350485207,26.7131729125977,26.1050262451172,26.362979888916
Canton Industrial Area,26.85764013273411,26.9279851913452,24.8696231842041,25.5776195526123
CARE,26.826977374799633,26.7417731285095,26.5359706878662,26.6213340759277
Carroll - Camden Industrial Area,26.62110781662989,26.687349319458,25.759090423584,26.0878772735596
Carroll Park,26.221942958544865,26.355938911438,24.9414463043213,26.0514507293701
Carroll-South Hilton,25.571820450300834,25.600254058837898,24.7225036621094,24.93381690979
Carrollton Ridge,26.16744225606234,26.1766471862793,25.4190196990967,25.959493637085
Cedarcroft,24.059185370713163,23.9920015335083,23.7466602325439,23.9946899414062
Cedmont,24.658869046297482,24.5654935836792,23.1151733398438,23.6066970825195
Cedonia,25.162164456288654,25.1159839630127,24.2678604125977,24.7212333679199
Central Forest Park,24.612567713267254,24.5315208435059,24.1677627563477,24.3652305603027
Central Park Heights,25.4965854063981,25.4828662872314,24.89284324646,25.1078758239746
Charles North,26.57551557413343,26.567690372467048,26.2451934814453,26.4674968719482
Charles Village,26.16103901684675,26.1806468963623,25.0417537689209,25.4291458129883
Cherry Hill,25.571704260789836,25.70627498626705,23.4776592254639,24.3718395233154
Cheswolde,24.121904020825717,24.0907182693481,23.3538875579834,23.8079299926758
Chinquapin Park,24.867291976502933,25.0049839019775,24.1695041656494,24.37282371521
Clifton Park,25.865777325335273,25.8366565704346,24.8899574279785,25.5411205291748
Coldspring,24.294165943859745,24.2953033447266,23.6560726165771,24.1857490539551
Coldstream Homestead Montebello,26.183029602473066,26.023024082183852,25.2264728546143,25.3090190887451
Concerned Citizens Of Forest Park,24.515776086771318,24.5586948394775,24.1660137176514,24.4755668640137
Coppin Heights/Ash-Co-East,25.682566156047386,25.7646284103394,24.7917175292969,25.3005561828613
Cross Country,24.413248842680773,24.3382091522217,23.8598709106445,23.9885635375977
Cross Keys,24.475455254035513,24.37409782409665,23.9713592529297,24.2141571044922
Curtis Bay,25.70229143118664,25.7395029067993,23.9101505279541,24.8058795928955
Curtis Bay Industrial Area,26.270725952902048,26.1467533111572,25.4739398956299,25.9107704162598
Cylburn,25.09658760791155,25.1037292480469,24.3975524902344,24.6662940979004
Darley Park,26.723791273543814,26.6901531219482,26.1211757659912,26.6911334991455
Dickeyville,23.571050879746338,23.51595783233645,23.0307559967041,23.3429203033447
