ZCTA5CE10,GEOID10,CLASSFP10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,t_am_mean,t_am_median,t_am_min,t_am_max
"21207","21207",B5,G6350,S,"26705585","81230","+39.3241672","-076.7194841",24.0091212220113,24.0006313323975,23.0307559967041,25.4756240844727
"21209","21209",B5,G6350,S,"18343962","101688","+39.3731913","-076.6700026",23.9693740020895,23.9422369003296,23.2822704315186,25.2369327545166
"21210","21210",B5,G6350,S,"8590404","5595","+39.3591561","-076.6326854",24.0755990599182,23.9969825744629,23.3072109222412,26.1100406646729
"21211","21211",B5,G6350,S,"7217872","25184","+39.3298170","-076.6394081",25.0520145868748,25.0035095214844,23.9447174072266,26.8185195922852
"21215","21215",B5,G6350,S,"17646082","9673","+39.3452409","-076.6835656",25.0369077411214,25.0082263946533,23.7223739624023,26.1664562225342
"21216","21216",B5,G6350,S,"8635708","145490","+39.3105945","-076.6717168",24.8097846570213,24.8950042724609,23.0539627075195,26.2309608459473
"21229","21229",B5,G6350,S,"15228872","9461","+39.2842394","-076.6914035",24.9400484081654,25.0928230285645,23.1626758575439,26.6871700286865
"21201","21201",B5,G6350,S,"3346928","0","+39.2948226","-076.6222236",26.5964555250247,26.5831565856934,25.6586627960205,28.3161926269531
"21202","21202",B5,G6350,S,"4104677","331280","+39.2965258","-076.6070163",26.7709732026211,26.683708190918,26.1038208007812,27.9768161773682
"21217","21217",B5,G6350,S,"5996500","191953","+39.3084728","-076.6391545",25.9412118652391,25.9384317398071,24.6923694610596,27.5919532775879
"21218","21218",B5,G6350,S,"10835058","316361","+39.3301071","-076.6014512",25.5809660314099,25.5049095153809,23.8695697784424,27.0546398162842
"21223","21223",B5,G6350,S,"6816138","48191","+39.2829512","-076.6538772",25.8190379406835,25.8762893676758,24.6637706756592,27.083869934082
"21230","21230",B5,G6350,S,"16332049","5330203","+39.2661273","-076.6238067",26.3485081806968,26.4593448638916,23.7547702789307,28.0888938903809
"21205","21205",B5,G6350,S,"5309071","0","+39.3022903","-076.5644838",26.2587095857352,26.4704265594482,24.2594108581543,27.4682903289795
"21224","21224",B5,G6350,S,"24534479","8880469","+39.2748602","-076.5428334",26.7573285576786,26.810341835022,24.8696231842041,27.7736759185791
"21231","21231",B5,G6350,S,"2256237","384066","+39.2872004","-076.5919534",26.7899553890244,26.7897605895996,26.1944007873535,27.3211040496826
"21228","21228",B5,G6350,S,"40152190","107562","+39.2728571","-076.7477405",24.8526211185793,24.8697280883789,24.3573570251465,25.297082901001
"21222","21222",B5,G6350,S,"28394454","5705215","+39.2648400","-076.4925655",26.6497011147082,26.6102466583252,25.8487167358398,27.6082324981689
"21226","21226",B5,G6350,S,"25718275","17454348","+39.2088881","-076.5629259",26.0231274021735,26.0769557952881,23.9101505279541,27.6591033935547
"21225","21225",B5,G6350,S,"16768581","613825","+39.2261173","-076.6157349",25.5260744025161,25.6228046417236,23.4776592254639,26.6519165039062
"21212","21212",B5,G6350,S,"12021176","97318","+39.3685612","-076.6148978",24.4186689466899,24.3553953170776,23.4462127685547,25.4963932037354
"21214","21214",B5,G6350,S,"7392916","0","+39.3517934","-076.5643999",25.1284687047347,25.1162757873535,24.1213970184326,26.428596496582
"21234","21234",B5,G6350,S,"33625986","11024","+39.3934171","-076.5342276",25.2441085465328,25.3115167617798,24.2366428375244,25.837495803833
"21239","21239",B5,G6350,S,"8377621","2110","+39.3670990","-076.5891708",25.0315562813879,25.0768661499023,23.539457321167,25.8935165405273
"21251","21251",B5,G6350,S,"456625","0","+39.3447070","-076.5812420",24.8285891401306,24.7911262512207,24.1254730224609,25.7404136657715
"21206","21206",B5,G6350,S,"18571036","3869","+39.3384283","-076.5388766",25.0460659892396,25.0772171020508,23.1151733398438,26.11669921875
"21236","21236",B5,G6350,S,"22189007","27168","+39.3884211","-076.4835503",24.9025260979607,24.8944797515869,24.2288265228271,25.4204235076904
"21213","21213",B5,G6350,S,"8838038","1899","+39.3150310","-076.5774287",26.1761476107176,26.3792943954468,23.9683475494385,27.1928234100342
"21237","21237",B5,G6350,S,"29801576","659932","+39.3415368","-076.4952701",25.4992431866734,25.4843463897705,24.8854427337646,26.4186935424805
"21227","21227",B5,G6350,S,"29876646","556260","+39.2399698","-076.6794498",26.1494582781898,26.1698770523071,24.2908592224121,27.340482711792
"21208","21208",B5,G6350,S,"31911112","65741","+39.3864250","-076.7211463",24.7435297126611,24.7378253936768,24.3771190643311,25.3991470336914
