date,value,anomaly
1895,52.5,-2.5
1896,54.3,-0.7
1897,53.6,-1.4
1898,54.8,-0.2
1899,53.5,-1.5
1900,55.3,0.3
1901,52.8,-2.2
1902,53.6,-1.4
1903,53.4,-1.6
1904,51,-4
1905,53,-2
1906,54.5,-0.5
1907,52.1,-2.9
1908,54.3,-0.7
1909,53.9,-1.1
1910,53.8,-1.2
1911,54.9,-0.1
1912,53.1,-1.9
1913,55.9,0.9
1914,53.5,-1.5
1915,53.8,-1.2
1916,53.1,-1.9
1917,51.4,-3.6
1918,53.8,-1.2
1919,54.7,-0.3
1920,53.1,-1.9
1921,56.5,1.5
1922,55,0
1923,54.6,-0.4
1924,52.7,-2.3
1925,54.4,-0.6
1926,52.8,-2.2
1927,54.5,-0.5
1928,54.3,-0.7
1929,54.7,-0.3
1930,55.6,0.6
1931,56.8,1.8
1932,55.7,0.7
1933,55.5,0.5
1934,54.2,-0.8
1935,53.9,-1.1
1936,54.2,-0.8
1937,54.7,-0.3
1938,55.7,0.7
1939,55.7,0.7
1940,52.6,-2.4
1941,55.5,0.5
1942,55.1,0.1
1943,54.6,-0.4
1944,54.7,-0.3
1945,54.8,-0.2
1946,55.9,0.9
1947,54.2,-0.8
1948,54.5,-0.5
1949,56.8,1.8
1950,54.2,-0.8
1951,55.2,0.2
1952,55.7,0.7
1953,56.7,1.7
1954,55.8,0.8
1955,55,0
1956,55,0
1957,55.7,0.7
1958,53.3,-1.7
1959,56.4,1.4
1960,54.1,-0.9
1961,54.5,-0.5
1962,53.6,-1.4
1963,53.6,-1.4
1964,55,0
1965,54.7,-0.3
1966,54.1,-0.9
1967,53.5,-1.5
1968,54.7,-0.3
1969,54.4,-0.6
1970,54.9,-0.1
1971,55.3,0.3
1972,54.3,-0.7
1973,56.5,1.5
1974,55.3,0.3
1975,55.7,0.7
1976,54.2,-0.8
1977,55.1,0.1
1978,53.8,-1.2
1979,54.6,-0.4
1980,54.8,-0.2
1981,54.5,-0.5
1982,54.7,-0.3
1983,55.4,0.4
1984,55.2,0.2
1985,56.1,1.1
1986,55.9,0.9
1987,56.1,1.1
1988,55,0
1989,54.9,-0.1
1990,58,3
1991,57.8,2.8
1992,55.1,0.1
1993,55.4,0.4
1994,55.7,0.7
1995,55.8,0.8
1996,54.3,-0.7
1997,55.4,0.4
1998,58.5,3.5
1999,56.9,1.9
2000,55.5,0.5
2001,56.8,1.8
2002,57.5,2.5
2003,55,0
2004,56.4,1.4
2005,56.6,1.6
2006,58.3,3.3
2007,57.2,2.2
2008,56.8,1.8
2009,55.8,0.8
2010,57.6,2.6
2011,58.1,3.1
2012,59.2,4.2
2013,56.3,1.3
2014,54.8,-0.2
2015,56.8,1.8
2016,57.8,2.8
2017,58,3
2018,57.2,2.2
