date,value,anomaly
1895,50.34,-1.87
1896,51.99,-0.22
1897,51.56,-0.65
1898,51.43,-0.78
1899,51.01,-1.2
1900,52.77,0.56
1901,51.87,-0.34
1902,51.59,-0.62
1903,50.62,-1.59
1904,51.16,-1.05
1905,51,-1.21
1906,51.73,-0.48
1907,51.48,-0.73
1908,52.08,-0.13
1909,51.43,-0.78
1910,52.42,0.21
1911,52.03,-0.18
1912,50.23,-1.98
1913,51.54,-0.67
1914,51.84,-0.37
1915,51.45,-0.76
1916,50.85,-1.36
1917,50.06,-2.15
1918,51.87,-0.34
1919,51.55,-0.66
1920,51.07,-1.14
1921,53.8,1.59
1922,52.03,-0.18
1923,51.64,-0.57
1924,50.59,-1.62
1925,52.52,0.31
1926,51.95,-0.26
1927,52.15,-0.06
1928,51.92,-0.29
1929,50.85,-1.36
1930,51.98,-0.23
1931,53.54,1.33
1932,51.73,-0.48
1933,52.99,0.78
1934,54.1,1.89
1935,51.9,-0.31
1936,52.15,-0.06
1937,51.55,-0.66
1938,53.18,0.97
1939,53.26,1.05
1940,51.89,-0.32
1941,52.66,0.45
1942,51.84,-0.37
1943,52.07,-0.14
1944,51.83,-0.38
1945,51.75,-0.46
1946,52.95,0.74
1947,51.92,-0.29
1948,51.61,-0.6
1949,52.02,-0.19
1950,51.39,-0.82
1951,51.12,-1.09
1952,52.27,0.06
1953,53.37,1.16
1954,53.33,1.12
1955,51.69,-0.52
1956,52.34,0.13
1957,52.04,-0.17
1958,51.93,-0.28
1959,52.1,-0.11
1960,51.44,-0.77
1961,51.87,-0.34
1962,51.9,-0.31
1963,52.26,0.05
1964,51.67,-0.54
1965,51.69,-0.52
1966,51.49,-0.72
1967,51.76,-0.45
1968,51.32,-0.89
1969,51.5,-0.71
1970,51.61,-0.6
1971,51.66,-0.55
1972,51.37,-0.84
1973,52.29,0.08
1974,52.26,0.05
1975,51.5,-0.71
1976,51.47,-0.74
1977,52.55,0.34
1978,51.04,-1.17
1979,50.88,-1.33
1980,52.39,0.18
1981,53.12,0.91
1982,51.34,-0.87
1983,51.88,-0.33
1984,51.97,-0.24
1985,51.3,-0.91
1986,53.32,1.11
1987,53.33,1.12
1988,52.63,0.42
1989,51.84,-0.37
1990,53.51,1.3
1991,53.16,0.95
1992,52.6,0.39
1993,51.26,-0.95
1994,52.87,0.66
1995,52.65,0.44
1996,51.88,-0.33
1997,52.2,-0.01
1998,54.23,2.02
1999,53.88,1.67
2000,53.27,1.06
2001,53.69,1.48
2002,53.21,1
2003,53.26,1.05
2004,53.1,0.89
2005,53.64,1.43
2006,54.25,2.04
2007,53.65,1.44
2008,52.29,0.08
2009,52.39,0.18
2010,52.98,0.77
2011,53.18,0.97
2012,55.28,3.07
2013,52.43,0.22
2014,52.54,0.33
2015,54.4,2.19
2016,54.92,2.71
2017,54.55,2.34
2018,53.52,1.31
