date,year,month,day,hour,avg_hourly_temperature_dmh,avg_hourly_dewpoint_dmh,avg_hourly_relative_humidity_dmh,avg_hourly_heat_index_dmh,heat_index_nws_five_scale_bucket
2018-06-21,2018,6,21,0,73,70,90.35087740132984,74,not_unsafe_under_80
2018-06-21,2018,6,21,1,73,70,90.35087740132984,74,not_unsafe_under_80
2018-06-21,2018,6,21,2,73,70,90.35087740132984,74,not_unsafe_under_80
2018-06-21,2018,6,21,3,73,69.1,87.62519734089496,74,not_unsafe_under_80
2018-06-21,2018,6,21,4,73,69.1,87.62519734089496,74,not_unsafe_under_80
2018-06-21,2018,6,21,5,73,69.1,87.62519734089496,74,not_unsafe_under_80
2018-06-21,2018,6,21,6,73.9,69.1,85.01906743614978,75,not_unsafe_under_80
2018-06-21,2018,6,21,7,75,70,84.5058435632153,76,not_unsafe_under_80
2018-06-21,2018,6,21,8,77,69.1,76.68442054527439,78,not_unsafe_under_80
2018-06-21,2018,6,21,9,75.9,69.1,79.53279562595192,77,not_unsafe_under_80
2018-06-21,2018,6,21,10,75,68,78.93302383091849,76,not_unsafe_under_80
2018-06-21,2018,6,21,11,75,66.9,76.00960307494631,76,not_unsafe_under_80
2018-06-21,2018,6,21,12,79,66.9,66.56894379660191,81,caution_80_89
2018-06-21,2018,6,21,13,81,68,64.74208675367389,84,caution_80_89
2018-06-21,2018,6,21,14,82,66.9,60.316575644765926,84,caution_80_89
2018-06-21,2018,6,21,15,81,68,64.74208675367389,84,caution_80_89
2018-06-21,2018,6,21,16,82,66.9,60.316575644765926,84,caution_80_89
2018-06-21,2018,6,21,17,82,64.9,56.275675928784274,84,caution_80_89
2018-06-21,2018,6,21,18,82,64.9,56.275675928784274,84,caution_80_89
2018-06-21,2018,6,21,19,80.1,69.1,69.23921395389966,83,caution_80_89
2018-06-21,2018,6,21,20,80.1,68,66.68116790308723,83,caution_80_89
2018-06-21,2018,6,21,21,79,66.9,66.56894379660191,81,caution_80_89
2018-06-21,2018,6,21,22,79,68,69.13375248410726,81,caution_80_89
2018-06-21,2018,6,21,23,78.1,70,76.25308421119888,80,caution_80_89
2018-06-22,2018,6,22,0,77,70,79.07390032559155,78,not_unsafe_under_80
2018-06-22,2018,6,22,1,75.9,70,82.00985354358859,77,not_unsafe_under_80
2018-06-22,2018,6,22,2,75.9,70,82.00985354358859,77,not_unsafe_under_80
2018-06-22,2018,6,22,3,75.9,69.1,79.53279562595192,77,not_unsafe_under_80
2018-06-22,2018,6,22,4,75.9,66.9,73.7615499490834,77,not_unsafe_under_80
2018-06-22,2018,6,22,5,75,66.9,76.00960307494631,76,not_unsafe_under_80
2018-06-22,2018,6,22,6,75,62.1,64.29886703414077,75,not_unsafe_under_80
2018-06-22,2018,6,22,7,75,66,73.68446055265481,76,not_unsafe_under_80
2018-06-22,2018,6,22,8,75,64.9,70.93224654875631,76,not_unsafe_under_80
2018-06-22,2018,6,22,9,73.9,64.9,73.58980139293259,74,not_unsafe_under_80
2018-06-22,2018,6,22,10,72,64.9,78.47203416597026,73,not_unsafe_under_80
2018-06-22,2018,6,22,11,71.1,66.9,86.67824746529008,72,not_unsafe_under_80
2018-06-22,2018,6,22,12,71.1,66,84.03114244094206,72,not_unsafe_under_80
2018-06-22,2018,6,22,13,71.1,66,84.03114244094206,72,not_unsafe_under_80
2018-06-22,2018,6,22,14,72,64.9,78.47203416597026,73,not_unsafe_under_80
2018-06-22,2018,6,22,15,72,66,81.5127594641506,73,not_unsafe_under_80
2018-06-22,2018,6,22,16,71.1,66,84.03114244094206,72,not_unsafe_under_80
2018-06-22,2018,6,22,17,69.1,64,83.9181072633116,70,not_unsafe_under_80
2018-06-22,2018,6,22,18,68,64,87.12770045128157,69,not_unsafe_under_80
2018-06-22,2018,6,22,19,66.9,63,87.35049140489468,67,not_unsafe_under_80
2018-06-22,2018,6,22,20,66.9,63,87.35049140489468,67,not_unsafe_under_80
2018-06-22,2018,6,22,21,66.9,63,87.35049140489468,67,not_unsafe_under_80
2018-06-22,2018,6,22,22,66.9,62.1,84.64281658239543,67,not_unsafe_under_80
2018-06-22,2018,6,22,23,66.9,63,87.35049140489468,67,not_unsafe_under_80
2018-06-23,2018,6,23,0,66,64,93.32011177431934,67,not_unsafe_under_80
2018-06-23,2018,6,23,1,66.9,64.9,93.34263866223635,68,not_unsafe_under_80
2018-06-23,2018,6,23,2,68,66.9,96.3072283722948,69,not_unsafe_under_80
2018-06-23,2018,6,23,3,69.1,66.9,92.7638917153295,70,not_unsafe_under_80
2018-06-23,2018,6,23,4,69.1,66.9,92.7638917153295,70,not_unsafe_under_80
2018-06-23,2018,6,23,5,69.1,66.9,92.7638917153295,70,not_unsafe_under_80
2018-06-23,2018,6,23,6,69.1,68,96.32250427643255,70,not_unsafe_under_80
