state,city,historical_100_plus,midcentury_no_action_100_plus,endcentury_no_action_100_plus
AL,Anniston-Oxford,10,62,96
AL,Auburn,7,53,90
AL,Birmingham,13,68,101
AL,Daphne-Fairhope,13,78,119
AL,Decatur,10,62,95
AL,Dothan,15,75,112
AL,Florence,13,68,99
AL,Gadsden,12,66,98
AL,Huntsville,6,55,89
AL,Mobile,10,73,114
AL,Montgomery,18,77,111
AL,Tuscaloosa,19,78,110
AR,Conway,26,81,108
AR,Fayetteville-Springdale-Rogers,8,56,86
AR,Fort Smith,28,82,109
AR,Hot Springs,28,81,109
AR,Jonesboro,17,71,99
AR,Little Rock,23,79,107
AR,Pine Bluff,24,82,111
AZ,Avondale-Goodyear,62,111,128
AZ,Casa Grande,68,116,132
AZ,Flagstaff,0,0,2
AZ,Lake Havasu City,58,106,117
AZ,Phoenix-Mesa,51,105,125
AZ,Prescott Valley-Prescott,0,3,17
AZ,Sierra Vista,0,14,48
AZ,Tucson,15,73,104
AZ,Yuma,78,119,133
CA,Antioch,3,19,44
CA,Arroyo Grande-Grover Beach,0,0,0
CA,Bakersfield,13,57,90
CA,Camarillo,0,4,18
CA,Chico,10,51,84
CA,Concord,0,8,23
CA,Davis,7,36,68
CA,Delano,16,60,93
CA,El Centro-Calexico,80,122,137
CA,El Paso de Robles (Paso Robles)-Atascadero,1,11,30
CA,Fairfield,3,19,44
CA,Fresno,14,58,91
CA,Gilroy-Morgan Hill,0,8,24
CA,Hanford,12,53,86
CA,Hemet,10,46,79
CA,Indio-Cathedral City,76,121,134
CA,Lancaster-Palmdale,3,29,60
CA,Livermore,1,11,30
CA,Lodi,4,26,56
CA,Lompoc,0,0,2
CA,Los Angeles-Long Beach-Anaheim,1,11,32
CA,Madera,14,57,90
CA,Manteca,6,33,64
CA,Merced,8,42,75
CA,Mission Viejo-Lake Forest-San Clemente,0,3,21
CA,Modesto,5,32,63
CA,Murrieta-Temecula-Menifee,12,50,84
CA,Napa,0,9,26
CA,Oxnard,0,3,13
CA,Petaluma,0,3,13
CA,Porterville,13,61,95
CA,Redding,12,52,82
CA,Riverside-San Bernardino,4,32,65
CA,Sacramento,6,33,65
CA,Salinas,0,0,1
CA,San Diego,0,7,27
CA,San Francisco-Oakland,0,1,5
CA,San Jose,0,3,11
CA,San Luis Obispo,0,0,1
CA,Santa Barbara,0,0,2
CA,Santa Clarita,1,20,48
CA,Santa Cruz,0,3,11
CA,Santa Maria,0,0,2
CA,Santa Rosa,0,3,15
CA,Seaside-Monterey,0,0,0
CA,Simi Valley,3,21,49
CA,Stockton,6,32,63
CA,Thousand Oaks,3,16,41
CA,Tracy,6,33,63
CA,Turlock,5,33,63
CA,Vacaville,7,34,63
CA,Vallejo,0,6,21
CA,Victorville-Hesperia,1,20,49
CA,Visalia,13,55,89
CA,Watsonville,0,2,8
CA,Woodland,10,44,77
CA,Yuba City,9,46,78
CO,Boulder,0,1,11
CO,Colorado Springs,0,0,2
CO,Denver-Aurora,0,1,10
CO,Fort Collins,0,1,10
CO,Grand Junction,0,6,28
CO,Greeley,0,4,22
CO,Lafayette-Louisville-Erie,0,2,14
CO,Longmont,0,2,16
CO,Pueblo,0,6,31
CT,Bridgeport-Stamford,1,18,40
CT,Danbury,1,18,39
CT,Hartford,0,15,35
CT,New Haven,0,15,36
CT,Norwich-New London,0,12,31
CT,Waterbury,0,13,32
DC,Washington,5,37,65
DE,Dover,4,31,59
FL,Bonita Springs,29,132,162
FL,Cape Coral,26,125,160
FL,Deltona,17,90,130
