holc_id,holc_grade,grade_descr,count_all_pix_15,sum_canopy_pix_15,mean_pix_15
A1,A,best,49749484,27551084,0.553796377063931
A2,A,best,9445964,1937767,0.205142323218678
A3,A,best,716937,386544,0.539160344632792
A5,A,best,15743247,8197561,0.520703321239894
A6,A,best,29961029,9409136,0.314045822658494
B1,B,still desirable,17384442,12508605,0.719528702733168
B10,B,still desirable,177238381,59353693,0.334880586615153
B11,B,still desirable,23758903,4546761,0.191370830547185
B14,B,still desirable,4045008,1434430,0.354617345627005
B16,B,still desirable,3812744,703934,0.18462661012646
B18,B,still desirable,14260748,3056084,0.21430039995097
B2,B,still desirable,16591189,11741983,0.707724021467057
B22,B,still desirable,2862774,1617512,0.565015610732807
B3,B,still desirable,59612682,22484811,0.377181670839772
B4,B,still desirable,88342743,33071889,0.374358864994717
B5,B,still desirable,16755001,5930678,0.353964646137592
B6,B,still desirable,7844785,1369615,0.17458923348441
B7,B,still desirable,4238788,1051465,0.248057935428712
B8,B,still desirable,42248183,17212298,0.407409189644913
C,C,definitely declining,2616243,716493,0.273863322329004
C1,C,definitely declining,16220464,1078352,0.066480958867761
C11,C,definitely declining,22741452,5680735,0.24979649496435
C12,C,definitely declining,14573455,2665785,0.182920590896256
C13,C,definitely declining,22969640,6449002,0.280761997140573
C14,C,definitely declining,31832965,9790659,0.307563527305735
C2,C,definitely declining,20637475,2269943,0.109991314344415
C20,C,definitely declining,335062,86380,0.257803033468433
C3,C,definitely declining,26324323,2469593,0.093814112522476
C4,C,definitely declining,13064117,1962011,0.150183207942795
C5,C,definitely declining,14877684,3024082,0.203262954099576
C6,C,definitely declining,45321814,9001208,0.198606525325752
C7,C,definitely declining,20513124,3125136,0.152348126009476
C8,C,definitely declining,40367927,11240222,0.278444369957367
C9,C,definitely declining,13557339,3099785,0.228642582441879
D,D,hazardous,3162058,18512,0.005854415067655
D1,D,hazardous,51539630,5771020,0.111972476325499
D2,D,hazardous,25460848,1618721,0.063576869081501
D4,D,hazardous,62045073,10308752,0.166149405610338
D5,D,hazardous,35587071,3665844,0.103010556839589
D6,D,hazardous,6407380,1087854,0.169781408313538
D8,D,hazardous,17507428,1627385,0.09295397359338
D9,D,hazardous,18518349,944167,0.050985484721127
