date_hour_minute,mean_indoor_temperature,mean_indoor_heat_index,mean_indoor_relative_humidity,mean_outdoor_temperature,mean_outdoor_heat_index,indoor_temperature_difference,indoor_heat_index_difference
2019-06-03T12:43:00Z,74.8,74,39.7,73,71,1.7999999999999972,3
2019-06-03T12:44:00Z,75,74,38.1,73,71,2,3
2019-06-03T12:50:00Z,75,74,38.2,73,71,2,3
2019-06-20T14:16:00Z,88.7,98,61.7,91.9,97,-3.200000000000003,1
2019-06-20T14:17:00Z,88.5,97,61.6,91.9,97,-3.4000000000000057,0
2019-06-20T14:18:00Z,88.7,95,57.2,91.9,97,-3.200000000000003,-2
2019-06-20T14:19:00Z,88.2,93,53.5,91.9,97,-3.700000000000003,-4
2019-06-20T14:21:00Z,87.4,91,52.4,91.9,97,-4.5,-6
2019-06-20T14:22:00Z,86.9,90,53.2,91.9,97,-5,-7
2019-06-20T14:23:00Z,86.4,90,53.7,91.9,97,-5.5,-7
2019-06-20T14:24:00Z,86.2,89,54.1,91.9,97,-5.700000000000003,-8
2019-06-20T14:26:00Z,85.8,89,54.4,91.9,97,-6.1000000000000085,-8
2019-06-20T14:27:00Z,85.6,89,54.8,91.9,97,-6.300000000000011,-8
2019-06-20T14:28:00Z,85.5,89,55,91.9,97,-6.400000000000006,-8
2019-06-20T14:30:00Z,85.5,89,55.3,91.9,97,-6.400000000000006,-8
2019-06-20T14:31:00Z,85.1,88,55.3,91.9,97,-6.800000000000011,-9
2019-06-20T14:32:00Z,85.1,88,55.6,91.9,97,-6.800000000000011,-9
2019-06-20T14:33:00Z,84.9,88,55.8,91.9,97,-7,-9
2019-06-20T14:35:00Z,84.9,88,56.1,91.9,97,-7,-9
2019-06-20T14:36:00Z,84.9,88,56.3,91.9,97,-7,-9
2019-06-20T14:37:00Z,84.7,88,56.5,91.9,97,-7.200000000000003,-9
2019-06-20T14:38:00Z,84.7,88,56.7,91.9,97,-7.200000000000003,-9
2019-06-20T14:40:00Z,84.6,88,56.9,91.9,97,-7.300000000000011,-9
2019-06-20T14:41:00Z,84.6,88,57,91.9,97,-7.300000000000011,-9
2019-06-20T14:42:00Z,84.6,88,57.1,91.9,97,-7.300000000000011,-9
2019-06-20T14:44:00Z,84.4,87,57.2,91.9,97,-7.5,-10
2019-06-20T14:45:00Z,84.4,87,57.3,91.9,97,-7.5,-10
2019-06-20T14:46:00Z,84.4,87,57.4,91.9,97,-7.5,-10
2019-06-20T14:47:00Z,84.4,87,57.5,91.9,97,-7.5,-10
2019-06-20T14:49:00Z,84.4,87,57.5,91.9,97,-7.5,-10
2019-06-20T14:50:00Z,84.4,88,57.7,91.9,97,-7.5,-9
2019-06-20T14:51:00Z,84.2,87,57.7,91.9,97,-7.700000000000003,-10
2019-06-20T14:52:00Z,84.2,87,57.9,91.9,97,-7.700000000000003,-10
2019-06-20T14:54:00Z,84.2,87,58,91.9,97,-7.700000000000003,-10
2019-06-20T14:55:00Z,84.2,87,58,91.9,97,-7.700000000000003,-10
2019-06-20T14:56:00Z,84.2,87,58.1,91.9,97,-7.700000000000003,-10
2019-06-20T14:58:00Z,84.2,87,58,91.9,97,-7.700000000000003,-10
2019-06-20T14:59:00Z,84.2,87,57.6,91.9,97,-7.700000000000003,-10
2019-06-20T15:00:00Z,84,87,57.5,89.1,94,-5.099999999999994,-7
2019-06-20T15:01:00Z,84,87,57.2,89.1,94,-5.099999999999994,-7
2019-06-20T15:03:00Z,84,87,57,89.1,94,-5.099999999999994,-7
2019-06-20T15:04:00Z,84,87,57,89.1,94,-5.099999999999994,-7
2019-06-20T15:05:00Z,83.8,86,56.7,89.1,94,-5.299999999999997,-8
2019-06-20T15:06:00Z,83.8,86,56.6,89.1,94,-5.299999999999997,-8
2019-06-20T15:08:00Z,83.8,86,56.6,89.1,94,-5.299999999999997,-8
2019-06-20T15:09:00Z,83.8,86,56,89.1,94,-5.299999999999997,-8
2019-06-20T15:10:00Z,83.8,86,56.1,89.1,94,-5.299999999999997,-8
2019-06-20T15:11:00Z,83.7,86,56,89.1,94,-5.3999999999999915,-8
2019-06-20T15:13:00Z,83.7,86,55.7,89.1,94,-5.3999999999999915,-8
2019-06-20T15:14:00Z,83.7,86,55.7,89.1,94,-5.3999999999999915,-8
2019-06-20T15:15:00Z,83.7,86,55.4,89.1,94,-5.3999999999999915,-8
2019-06-20T15:17:00Z,83.7,86,55.5,89.1,94,-5.3999999999999915,-8
2019-06-20T15:18:00Z,83.5,86,55.4,89.1,94,-5.599999999999994,-8
2019-06-20T15:19:00Z,83.5,85,54.9,89.1,94,-5.599999999999994,-9
2019-06-20T15:20:00Z,83.5,86,55.2,89.1,94,-5.599999999999994,-8
2019-06-20T15:22:00Z,83.5,85,54.8,89.1,94,-5.599999999999994,-9
2019-06-20T15:23:00Z,83.5,86,55,89.1,94,-5.599999999999994,-8
2019-06-20T15:24:00Z,83.5,85,54.8,89.1,94,-5.599999999999994,-9
2019-06-20T15:25:00Z,83.3,85,54.7,89.1,94,-5.799999999999997,-9
2019-06-20T15:27:00Z,83.3,85,54.3,89.1,94,-5.799999999999997,-9
2019-06-20T15:28:00Z,83.3,85,54.4,89.1,94,-5.799999999999997,-9
2019-06-20T15:29:00Z,83.3,85,54.3,89.1,94,-5.799999999999997,-9
2019-06-20T15:31:00Z,83.3,85,54,89.1,94,-5.799999999999997,-9
2019-06-20T15:32:00Z,83.3,85,53.8,89.1,94,-5.799999999999997,-9
2019-06-20T15:33:00Z,83.1,85,53.5,89.1,94,-6,-9
2019-06-20T15:34:00Z,83.1,85,53.6,89.1,94,-6,-9
2019-06-20T15:36:00Z,83.1,85,53.8,89.1,94,-6,-9
2019-06-20T15:37:00Z,83.1,85,53.4,89.1,94,-6,-9
2019-06-20T15:38:00Z,83.1,85,53.8,89.1,94,-6,-9
2019-06-20T15:39:00Z,83.1,85,53.5,89.1,94,-6,-9
2019-06-20T15:41:00Z,83.1,85,53.5,89.1,94,-6,-9
2019-06-20T15:42:00Z,83.1,85,53.4,89.1,94,-6,-9
2019-06-20T15:43:00Z,83.1,85,53.2,89.1,94,-6,-9
2019-06-20T15:45:00Z,83.1,85,53.3,89.1,94,-6,-9
2019-06-20T15:46:00Z,83.1,85,53,89.1,94,-6,-9
2019-06-20T15:47:00Z,82.9,84,52.9,89.1,94,-6.199999999999989,-10
2019-06-20T15:48:00Z,82.9,84,53,89.1,94,-6.199999999999989,-10
2019-06-20T15:50:00Z,82.9,84,53.1,89.1,94,-6.199999999999989,-10
2019-06-20T15:51:00Z,82.9,84,53.3,89.1,94,-6.199999999999989,-10
2019-06-20T15:52:00Z,82.9,84,52.9,89.1,94,-6.199999999999989,-10
2019-06-20T15:53:00Z,82.9,84,52.8,89.1,94,-6.199999999999989,-10
2019-06-20T15:55:00Z,82.9,84,52.9,89.1,94,-6.199999999999989,-10
2019-06-20T15:56:00Z,82.9,84,53.3,89.1,94,-6.199999999999989,-10
2019-06-20T15:57:00Z,82.9,84,53.3,89.1,94,-6.199999999999989,-10
2019-06-20T15:59:00Z,82.9,84,53.2,89.1,94,-6.199999999999989,-10
2019-06-20T16:00:00Z,82.9,84,53.4,90,91,-7.099999999999994,-7
2019-06-20T16:01:00Z,82.9,85,53.7,90,91,-7.099999999999994,-6
