date_hour,mean_indoor_temperature,mean_indoor_heat_index,mean_indoor_relative_humidity,mean_outdoor_temperature,mean_outdoor_heat_index,indoor_temperature_difference,indoor_heat_index_difference
2019-06-03T11:00:00Z,76.2,75.5,42,72,71,4.200000000000003,4.5
2019-06-13T13:00:00Z,74.8,75,72.7,68,68,6.799999999999997,7
2019-06-13T14:00:00Z,78,79.7,70.5,68,68,10,11.700000000000003
2019-06-13T15:00:00Z,79.7,81.6,61.9,70,70,9.700000000000003,11.599999999999994
2019-06-13T16:00:00Z,79.9,81.9,60.3,73.9,74,6,7.900000000000006
2019-06-13T17:00:00Z,80,82,61.4,73.9,74,6.099999999999994,8
2019-06-13T18:00:00Z,80,81.9,59.9,64.9,65,15.099999999999994,16.900000000000006
2019-06-13T19:00:00Z,80.1,82,59.2,64.9,65,15.199999999999989,17
2019-06-13T20:00:00Z,80.4,82,59.3,66,66,14.400000000000006,16
2019-06-13T21:00:00Z,80.7,82.9,59.8,64.9,65,15.799999999999997,17.900000000000006
2019-06-13T22:00:00Z,80.6,82.1,55.5,64.9,65,15.699999999999989,17.099999999999994
2019-06-13T23:00:00Z,80.3,81.1,51.9,63,62,17.299999999999997,19.099999999999994
2019-06-14T00:00:00Z,79.7,80.3,48.6,62.1,61,17.6,19.299999999999997
2019-06-14T01:00:00Z,79.2,79.4,46.7,61,60,18.200000000000003,19.400000000000006
2019-06-14T02:00:00Z,78.9,78.8,46,60.1,59,18.800000000000004,19.799999999999997
2019-06-14T03:00:00Z,78.3,78,41.4,60.1,59,18.199999999999996,19
2019-06-14T04:00:00Z,78,77.6,40.7,61,59,17,18.599999999999994
2019-06-14T05:00:00Z,77.2,76.5,39.3,61,59,16.200000000000003,17.5
2019-06-14T06:00:00Z,76.2,75.3,40.1,62.1,61,14.100000000000001,14.299999999999997
2019-06-14T07:00:00Z,75.4,74.7,41.8,64,63,11.400000000000006,11.700000000000003
2019-06-14T08:00:00Z,76.1,75.4,43.4,63,62,13.099999999999994,13.400000000000006
2019-06-14T09:00:00Z,79,78.9,43.4,64,63,15,15.900000000000006
2019-06-14T10:00:00Z,81.3,81.3,42.8,66.9,66,14.399999999999991,15.299999999999997
2019-06-14T11:00:00Z,81.3,81.3,43.4,69.1,68,12.200000000000003,13.299999999999997
2019-06-14T12:00:00Z,80.2,80.2,43.3,71.1,70,9.100000000000009,10.200000000000003
2019-06-14T13:00:00Z,79.4,79.4,43.2,71.1,70,8.300000000000011,9.400000000000006
2019-06-14T14:00:00Z,78.9,78.5,43.6,73.9,72,5,6.5
2019-06-14T15:00:00Z,78.6,78,44.3,75,74,3.5999999999999943,4
2019-06-14T16:00:00Z,78.8,78.9,46.6,75.9,75,2.8999999999999915,3.9000000000000057
2019-06-14T17:00:00Z,79.2,79.6,46.9,75.9,75,3.299999999999997,4.599999999999994
2019-06-14T18:00:00Z,79.7,80,45.8,75,74,4.700000000000003,6
2019-06-14T19:00:00Z,80,80.1,44.5,73.9,73,6.099999999999994,7.099999999999994
2019-06-14T20:00:00Z,80.4,81,46.4,72,71,8.400000000000006,10
2019-06-14T21:00:00Z,80.8,81.3,49.1,70,69,10.799999999999997,12.299999999999997
2019-06-14T22:00:00Z,81,82,51.5,66.9,66,14.099999999999994,16
2019-06-14T23:00:00Z,81.2,82,51.7,66.9,66,14.299999999999997,16
2019-06-15T00:00:00Z,81.5,82.3,51.5,66,65,15.5,17.299999999999997
