date_hour_minute,mean_indoor_temperature,mean_indoor_heat_index,mean_indoor_relative_humidity,mean_outdoor_temperature,mean_outdoor_heat_index,indoor_temperature_difference,indoor_heat_index_difference
2019-06-03T11:58:00Z,76.2,75.5,42,72,71,4.200000000000003,4.5
2019-06-13T13:35:00Z,74.8,75,72.7,68,68,6.799999999999997,7
2019-06-13T14:53:00Z,77.2,78,77,68,68,9.200000000000003,10
2019-06-13T14:55:00Z,77.7,79,72.2,68,68,9.700000000000003,11
2019-06-13T14:56:00Z,78.6,81,68,68,68,10.599999999999994,13
2019-06-13T14:57:00Z,78.8,81,65.6,68,68,10.799999999999997,13
2019-06-13T14:58:00Z,78.8,81,63.1,68,68,10.799999999999997,13
2019-06-13T15:00:00Z,79,81,62.5,70,70,9,11
2019-06-13T15:01:00Z,79,81,62.6,70,70,9,11
2019-06-13T15:02:00Z,79,81,62.1,70,70,9,11
2019-06-13T15:03:00Z,79.2,81,62.3,70,70,9.200000000000003,11
2019-06-13T15:04:00Z,79.2,81,62.1,70,70,9.200000000000003,11
2019-06-13T15:06:00Z,79.3,81,62.5,70,70,9.299999999999997,11
2019-06-13T15:07:00Z,79.3,81,62.4,70,70,9.299999999999997,11
2019-06-13T15:08:00Z,79.3,81,62.2,70,70,9.299999999999997,11
2019-06-13T15:09:00Z,79.3,81,62.4,70,70,9.299999999999997,11
2019-06-13T15:11:00Z,79.5,81,62.6,70,70,9.5,11
2019-06-13T15:12:00Z,79.5,81,62.4,70,70,9.5,11
2019-06-13T15:13:00Z,79.5,81,62.5,70,70,9.5,11
2019-06-13T15:14:00Z,79.5,81,62.4,70,70,9.5,11
2019-06-13T15:16:00Z,79.5,81,62.2,70,70,9.5,11
2019-06-13T15:17:00Z,79.5,81,62.5,70,70,9.5,11
2019-06-13T15:18:00Z,79.5,81,61.7,70,70,9.5,11
2019-06-13T15:19:00Z,79.5,81,61.9,70,70,9.5,11
2019-06-13T15:21:00Z,79.5,81,61.9,70,70,9.5,11
2019-06-13T15:22:00Z,79.7,82,62.2,70,70,9.700000000000003,12
2019-06-13T15:23:00Z,79.7,82,62,70,70,9.700000000000003,12
2019-06-13T15:24:00Z,79.7,82,61.6,70,70,9.700000000000003,12
2019-06-13T15:26:00Z,79.7,82,61.6,70,70,9.700000000000003,12
2019-06-13T15:27:00Z,79.7,82,62,70,70,9.700000000000003,12
2019-06-13T15:28:00Z,79.7,82,62,70,70,9.700000000000003,12
2019-06-13T15:29:00Z,79.7,82,61.8,70,70,9.700000000000003,12
2019-06-13T15:31:00Z,79.7,82,62.3,70,70,9.700000000000003,12
2019-06-13T15:32:00Z,79.9,82,62.3,70,70,9.900000000000006,12
2019-06-13T15:33:00Z,79.9,82,61.9,70,70,9.900000000000006,12
2019-06-13T15:34:00Z,79.9,82,61.5,70,70,9.900000000000006,12
2019-06-13T15:36:00Z,79.9,82,61.8,70,70,9.900000000000006,12
2019-06-13T15:37:00Z,79.9,82,61.8,70,70,9.900000000000006,12
2019-06-13T15:38:00Z,79.9,82,62,70,70,9.900000000000006,12
2019-06-13T15:39:00Z,80.1,82,62,70,70,10.099999999999994,12
2019-06-13T15:41:00Z,79.9,82,62.1,70,70,9.900000000000006,12
2019-06-13T15:42:00Z,80.1,82,62.1,70,70,10.099999999999994,12
2019-06-13T15:43:00Z,80.1,82,62.1,70,70,10.099999999999994,12
2019-06-13T15:44:00Z,80.1,82,62.5,70,70,10.099999999999994,12
2019-06-13T15:46:00Z,80.1,82,62.8,70,70,10.099999999999994,12
2019-06-13T15:47:00Z,80.1,82,62.9,70,70,10.099999999999994,12
2019-06-13T15:48:00Z,80.1,82,62.4,70,70,10.099999999999994,12
2019-06-13T15:49:00Z,80.1,82,61,70,70,10.099999999999994,12
2019-06-13T15:51:00Z,79.9,82,61,70,70,9.900000000000006,12
2019-06-13T15:52:00Z,79.9,82,60.7,70,70,9.900000000000006,12
2019-06-13T15:53:00Z,79.9,82,60.5,70,70,9.900000000000006,12
2019-06-13T15:54:00Z,79.9,82,61,70,70,9.900000000000006,12
2019-06-13T15:56:00Z,79.9,82,61,70,70,9.900000000000006,12
2019-06-13T15:57:00Z,79.9,82,61,70,70,9.900000000000006,12
2019-06-13T15:58:00Z,79.7,81,60.4,70,70,9.700000000000003,11
2019-06-13T15:59:00Z,79.7,81,59.9,70,70,9.700000000000003,11
2019-06-13T16:01:00Z,79.7,81,60,73.9,74,5.799999999999997,7
2019-06-13T16:02:00Z,79.7,81,60.4,73.9,74,5.799999999999997,7
2019-06-13T16:03:00Z,79.7,81,59.7,73.9,74,5.799999999999997,7
2019-06-13T16:04:00Z,79.7,81,60,73.9,74,5.799999999999997,7
2019-06-13T16:06:00Z,79.7,81,60.1,73.9,74,5.799999999999997,7
2019-06-13T16:07:00Z,79.7,81,60.2,73.9,74,5.799999999999997,7
2019-06-13T16:08:00Z,79.7,81,60.1,73.9,74,5.799999999999997,7
2019-06-13T16:09:00Z,79.9,82,60.3,73.9,74,6,8
2019-06-13T16:11:00Z,79.9,82,60.5,73.9,74,6,8
2019-06-13T16:12:00Z,79.9,82,60.4,73.9,74,6,8
2019-06-13T16:13:00Z,79.9,82,60.3,73.9,74,6,8
2019-06-13T16:14:00Z,79.9,82,60,73.9,74,6,8
2019-06-13T16:16:00Z,79.9,82,60,73.9,74,6,8
2019-06-13T16:17:00Z,79.9,82,60,73.9,74,6,8
2019-06-13T16:18:00Z,79.9,82,59.9,73.9,74,6,8
2019-06-13T16:19:00Z,79.9,82,59.7,73.9,74,6,8
2019-06-13T16:21:00Z,79.9,82,59.7,73.9,74,6,8
2019-06-13T16:22:00Z,79.9,82,59.7,73.9,74,6,8
2019-06-13T16:23:00Z,79.9,82,59.7,73.9,74,6,8
2019-06-13T16:24:00Z,79.9,82,59.9,73.9,74,6,8
2019-06-13T16:26:00Z,79.9,82,59.8,73.9,74,6,8
2019-06-13T16:27:00Z,79.9,82,59.9,73.9,74,6,8
2019-06-13T16:28:00Z,79.9,82,60,73.9,74,6,8
2019-06-13T16:29:00Z,79.9,82,60,73.9,74,6,8
2019-06-13T16:31:00Z,79.9,82,60,73.9,74,6,8
2019-06-13T16:32:00Z,79.9,82,60.4,73.9,74,6,8
2019-06-13T16:33:00Z,79.9,82,60.2,73.9,74,6,8
2019-06-13T16:34:00Z,79.9,82,60.2,73.9,74,6,8
2019-06-13T16:36:00Z,79.9,82,60,73.9,74,6,8
2019-06-13T16:37:00Z,79.9,82,60.2,73.9,74,6,8
2019-06-13T16:38:00Z,79.9,82,60.3,73.9,74,6,8
2019-06-13T16:39:00Z,79.9,82,60.5,73.9,74,6,8
2019-06-13T16:41:00Z,79.9,82,60.4,73.9,74,6,8
2019-06-13T16:42:00Z,79.9,82,60.5,73.9,74,6,8
2019-06-13T16:43:00Z,79.9,82,60.4,73.9,74,6,8
2019-06-13T16:44:00Z,79.9,82,60.5,73.9,74,6,8
2019-06-13T16:46:00Z,79.9,82,61,73.9,74,6,8
2019-06-13T16:47:00Z,79.9,82,61,73.9,74,6,8
2019-06-13T16:48:00Z,79.9,82,61,73.9,74,6,8
2019-06-13T16:49:00Z,79.9,82,60.8,73.9,74,6,8
2019-06-13T16:51:00Z,79.9,82,60.5,73.9,74,6,8
2019-06-13T16:52:00Z,79.9,82,60.6,73.9,74,6,8
2019-06-13T16:53:00Z,79.9,82,60.9,73.9,74,6,8
2019-06-13T16:54:00Z,79.9,82,60.9,73.9,74,6,8
2019-06-13T16:56:00Z,79.9,82,60.6,73.9,74,6,8
2019-06-13T16:57:00Z,79.9,82,60.5,73.9,74,6,8
2019-06-13T16:58:00Z,79.9,82,61,73.9,74,6,8
2019-06-13T16:59:00Z,79.9,82,60.5,73.9,74,6,8
2019-06-13T17:01:00Z,79.9,82,60.8,73.9,74,6,8
2019-06-13T17:02:00Z,79.9,82,61,73.9,74,6,8
2019-06-13T17:03:00Z,79.9,82,61.2,73.9,74,6,8
2019-06-13T17:04:00Z,79.9,82,61.2,73.9,74,6,8
2019-06-13T17:06:00Z,79.9,82,61.5,73.9,74,6,8
2019-06-13T17:07:00Z,79.9,82,61.5,73.9,74,6,8
2019-06-13T17:08:00Z,79.9,82,61.4,73.9,74,6,8
2019-06-13T17:09:00Z,79.9,82,61.2,73.9,74,6,8
2019-06-13T17:11:00Z,79.9,82,61.3,73.9,74,6,8
2019-06-13T17:12:00Z,79.9,82,61,73.9,74,6,8
2019-06-13T17:13:00Z,79.9,82,61.1,73.9,74,6,8
2019-06-13T17:14:00Z,79.9,82,61,73.9,74,6,8
2019-06-13T17:16:00Z,79.9,82,60.9,73.9,74,6,8
2019-06-13T17:17:00Z,79.9,82,61.2,73.9,74,6,8
2019-06-13T17:18:00Z,79.9,82,61,73.9,74,6,8
2019-06-13T17:19:00Z,79.9,82,60.8,73.9,74,6,8
2019-06-13T17:21:00Z,79.9,82,61,73.9,74,6,8
2019-06-13T17:22:00Z,79.9,82,61.2,73.9,74,6,8
2019-06-13T17:23:00Z,79.9,82,61.3,73.9,74,6,8
2019-06-13T17:24:00Z,79.9,82,61.6,73.9,74,6,8
2019-06-13T17:26:00Z,80.1,82,61.7,73.9,74,6.199999999999989,8
2019-06-13T17:27:00Z,80.1,82,61.7,73.9,74,6.199999999999989,8
2019-06-13T17:28:00Z,80.1,82,61.7,73.9,74,6.199999999999989,8
2019-06-13T17:29:00Z,80.1,82,61.8,73.9,74,6.199999999999989,8
2019-06-13T17:31:00Z,80.1,82,61.9,73.9,74,6.199999999999989,8
2019-06-13T17:32:00Z,80.1,82,62,73.9,74,6.199999999999989,8
2019-06-13T17:33:00Z,80.1,82,62,73.9,74,6.199999999999989,8
2019-06-13T17:34:00Z,80.1,82,63,73.9,74,6.199999999999989,8
2019-06-13T17:36:00Z,80.1,82,62.5,73.9,74,6.199999999999989,8
2019-06-13T17:37:00Z,80.1,82,62,73.9,74,6.199999999999989,8
2019-06-13T17:38:00Z,80.1,82,61.9,73.9,74,6.199999999999989,8
2019-06-13T17:39:00Z,80.1,82,61.8,73.9,74,6.199999999999989,8
2019-06-13T17:41:00Z,80.1,82,61.7,73.9,74,6.199999999999989,8
2019-06-13T17:42:00Z,80.1,82,61.6,73.9,74,6.199999999999989,8
2019-06-13T17:43:00Z,80.1,82,61.5,73.9,74,6.199999999999989,8
2019-06-13T17:44:00Z,80.1,82,61.4,73.9,74,6.199999999999989,8
2019-06-13T17:46:00Z,80.1,82,61.3,73.9,74,6.199999999999989,8
2019-06-13T17:47:00Z,80.1,82,61.3,73.9,74,6.199999999999989,8
2019-06-13T17:48:00Z,80.1,82,61.2,73.9,74,6.199999999999989,8
2019-06-13T17:49:00Z,80.1,82,61.3,73.9,74,6.199999999999989,8
2019-06-13T17:51:00Z,80.1,82,61.2,73.9,74,6.199999999999989,8
2019-06-13T17:52:00Z,80.1,82,61.1,73.9,74,6.199999999999989,8
2019-06-13T17:53:00Z,80.1,82,61.1,73.9,74,6.199999999999989,8
2019-06-13T17:54:00Z,80.1,82,61.1,73.9,74,6.199999999999989,8
2019-06-13T17:56:00Z,80.1,82,61.1,73.9,74,6.199999999999989,8
2019-06-13T17:57:00Z,80.1,82,61.1,73.9,74,6.199999999999989,8
2019-06-13T17:58:00Z,80.1,82,61.1,73.9,74,6.199999999999989,8
2019-06-13T17:59:00Z,80.1,82,61.2,73.9,74,6.199999999999989,8
2019-06-13T18:01:00Z,80.1,82,61.1,64.9,65,15.199999999999989,17
2019-06-13T18:02:00Z,80.1,82,61.1,64.9,65,15.199999999999989,17
2019-06-13T18:03:00Z,80.1,82,61.1,64.9,65,15.199999999999989,17
2019-06-13T18:04:00Z,80.1,82,61.1,64.9,65,15.199999999999989,17
2019-06-13T18:06:00Z,80.1,82,61.1,64.9,65,15.199999999999989,17
2019-06-13T18:07:00Z,80.1,82,61.1,64.9,65,15.199999999999989,17
2019-06-13T18:08:00Z,80.1,82,61.5,64.9,65,15.199999999999989,17
2019-06-13T18:09:00Z,80.1,82,61.2,64.9,65,15.199999999999989,17
2019-06-13T18:11:00Z,80.1,82,61.1,64.9,65,15.199999999999989,17
2019-06-13T18:12:00Z,80.1,82,61.1,64.9,65,15.199999999999989,17
2019-06-13T18:13:00Z,80.1,82,61.1,64.9,65,15.199999999999989,17
2019-06-13T18:14:00Z,80.1,82,61.8,64.9,65,15.199999999999989,17
2019-06-13T18:16:00Z,80.1,82,62,64.9,65,15.199999999999989,17
2019-06-13T18:17:00Z,80.1,82,61.9,64.9,65,15.199999999999989,17
2019-06-13T18:18:00Z,80.1,82,62,64.9,65,15.199999999999989,17
2019-06-13T18:19:00Z,80.1,82,63.6,64.9,65,15.199999999999989,17
2019-06-13T18:21:00Z,80.1,82,64.1,64.9,65,15.199999999999989,17
2019-06-13T18:22:00Z,80.2,83,63.5,64.9,65,15.299999999999997,18
2019-06-13T18:23:00Z,80.2,82,62.7,64.9,65,15.299999999999997,17
2019-06-13T18:24:00Z,80.2,82,62.4,64.9,65,15.299999999999997,17
2019-06-13T18:26:00Z,80.2,82,62.4,64.9,65,15.299999999999997,17
2019-06-13T18:27:00Z,80.2,82,62,64.9,65,15.299999999999997,17
2019-06-13T18:28:00Z,80.2,82,61.9,64.9,65,15.299999999999997,17
2019-06-13T18:29:00Z,80.1,82,61.7,64.9,65,15.199999999999989,17
2019-06-13T18:31:00Z,80.2,82,61.3,64.9,65,15.299999999999997,17
2019-06-13T18:32:00Z,80.2,82,60.4,64.9,65,15.299999999999997,17
2019-06-13T18:33:00Z,80.2,82,59.3,64.9,65,15.299999999999997,17
2019-06-13T18:34:00Z,80.2,82,58.9,64.9,65,15.299999999999997,17
2019-06-13T18:36:00Z,80.1,82,58.2,64.9,65,15.199999999999989,17
