date,mean_indoor_temperature,mean_indoor_heat_index,mean_indoor_relative_humidity,mean_outdoor_temperature,mean_outdoor_heat_index,indoor_temperature_difference,indoor_heat_index_difference
2019-07-03,90.5,95.6,49.9,85.9,91.1,4.599999999999994,4.5
2019-07-04,88.8,91.9,48.3,81.9,86.6,6.8999999999999915,5.300000000000011
2019-07-05,88.9,93.6,51.5,83.3,89.2,5.6000000000000085,4.3999999999999915
2019-07-06,90,94.9,50.3,84.9,90.6,5.099999999999994,4.300000000000011
2019-07-07,89.1,93.1,50.1,79.8,83.5,9.299999999999997,9.599999999999994
2019-07-08,86.8,90.1,52.7,75.2,76,11.599999999999994,14.099999999999994
2019-07-09,86,88.5,51.3,78.9,80.9,7.099999999999994,7.599999999999994
2019-07-10,87.5,90.7,50.5,81.2,83.1,6.299999999999997,7.6000000000000085
2019-07-11,87.7,91.5,52.2,79.4,83.2,8.299999999999997,8.299999999999997
2019-07-12,87.1,90.2,51.6,81.7,83.2,5.3999999999999915,7
2019-07-13,88.1,91.5,49.5,83.4,84.2,4.699999999999989,7.299999999999997
2019-07-14,89.3,92.4,47.3,85.4,87.4,3.8999999999999915,5
2019-07-15,89.3,92.1,45.6,82.3,83.2,7,8.899999999999991
2019-07-16,90.3,94.8,48.2,85.8,90.7,4.5,4.099999999999994
2019-07-17,91.6,97.5,49.2,85.7,91.6,5.8999999999999915,5.900000000000006
2019-07-18,91,97.7,51.9,85.3,92.2,5.700000000000003,5.5
2019-07-19,92.4,100.9,51.6,90.1,97.5,2.3000000000000114,3.4000000000000057
2019-07-20,93.4,101.1,48.9,91.5,100.1,1.9000000000000057,1
2019-07-21,93,98.2,45.4,90.9,99,2.0999999999999943,-0.7999999999999972
2019-07-22,92.3,96.7,44.7,84.6,88.6,7.700000000000003,8.100000000000009
2019-07-23,88.2,89,42.8,74.2,74.6,14,14.400000000000006
2019-07-24,86.8,88.4,47.4,77.5,77.5,9.299999999999997,10.900000000000006
2019-07-25,87,88.3,46.1,78.8,78.5,8.200000000000003,9.799999999999997
2019-07-26,87.5,89.4,46.8,81.4,80.8,6.099999999999994,8.600000000000009
2019-07-27,88.4,91.1,47.9,82.9,83.7,5.5,7.3999999999999915
2019-07-28,89.3,92.3,46.9,84.7,86,4.599999999999994,6.299999999999997
2019-07-29,90.5,95.1,48,85.5,88.7,5,6.3999999999999915
2019-07-30,90,93.6,47.5,83,86.3,7,7.299999999999997
