date_hour,mean_indoor_temperature,mean_indoor_heat_index,mean_indoor_relative_humidity,mean_outdoor_temperature,mean_outdoor_heat_index,indoor_temperature_difference,indoor_heat_index_difference
2019-07-03T13:00:00Z,92.5,93,35.7,91.9,97,0.5999999999999943,-4
2019-07-03T14:00:00Z,89.5,92.1,46,91.9,96,-2.4000000000000057,-3.9000000000000057
2019-07-03T15:00:00Z,89.8,95.4,52.4,91,95,-1.2000000000000028,0.4000000000000057
2019-07-03T16:00:00Z,90.6,96,50.9,91.9,96,-1.3000000000000114,0
2019-07-03T17:00:00Z,91.3,98.6,52.7,88,94,3.299999999999997,4.599999999999994
2019-07-03T18:00:00Z,91.5,99.1,52.9,84.9,92,6.599999999999994,7.099999999999994
2019-07-03T19:00:00Z,91.3,97.6,51.2,81,85,10.299999999999997,12.599999999999994
2019-07-03T20:00:00Z,91.3,97.9,51.8,82,88,9.299999999999997,9.900000000000006
2019-07-03T21:00:00Z,90.7,95.5,49.1,82.9,89,7.799999999999997,6.5
2019-07-03T22:00:00Z,89.2,91.7,46.6,82.9,88,6.299999999999997,3.700000000000003
2019-07-03T23:00:00Z,89.1,91.9,46.9,82,87,7.099999999999994,4.900000000000006
2019-07-04T00:00:00Z,88.9,91.4,46.4,81,85,7.900000000000006,6.400000000000006
2019-07-04T01:00:00Z,88.3,89.9,45,81,85,7.299999999999997,4.900000000000006
2019-07-04T02:00:00Z,87.9,89,44.7,81,85,6.900000000000006,4
2019-07-04T03:00:00Z,87.6,88.6,44.7,80.1,84,7.5,4.599999999999994
2019-07-04T04:00:00Z,87.6,89,46.4,80.1,84,7.5,5
2019-07-04T05:00:00Z,87.6,89.6,47.3,79,82,8.599999999999994,7.599999999999994
2019-07-04T06:00:00Z,87.4,89,47.1,81,85,6.400000000000006,4
2019-07-04T07:00:00Z,87.4,88.9,47.3,82.9,88,4.5,0.9000000000000057
2019-07-04T08:00:00Z,87,88,45.6,86,93,1,-5
2019-07-04T09:00:00Z,88,90.6,48.6,89.1,98,-1.0999999999999943,-7.400000000000006
2019-07-04T10:00:00Z,88.7,92,49.5,90,98,-1.2999999999999972,-6
2019-07-04T11:00:00Z,89.3,93.4,50.1,91.9,102,-2.6000000000000085,-8.599999999999994
2019-07-04T12:00:00Z,89.9,94.6,50.4,86,93,3.9000000000000057,1.5999999999999943
2019-07-04T13:00:00Z,90,94.5,49.7,81,85,9,9.5
2019-07-04T14:00:00Z,90,93,46.1,79,82,11,11
2019-07-04T15:00:00Z,90.1,95.1,50.5,79,82,11.099999999999994,13.099999999999994
2019-07-04T16:00:00Z,90.2,96.4,52.7,79,82,11.200000000000003,14.400000000000006
2019-07-04T17:00:00Z,89.9,95,51.2,81,86,8.900000000000006,9
2019-07-04T18:00:00Z,89.8,94.6,50.8,80.1,85,9.700000000000003,9.599999999999994
2019-07-04T19:00:00Z,89.6,94,50.5,80.1,84,9.5,10
2019-07-04T20:00:00Z,89.4,93.8,50.2,80.1,84,9.300000000000011,9.799999999999997
2019-07-04T21:00:00Z,88.7,91.6,48,79,82,9.700000000000003,9.599999999999994
2019-07-04T22:00:00Z,88.6,91.6,48.3,79,82,9.599999999999994,9.599999999999994
2019-07-04T23:00:00Z,88.4,91,48.4,79,82,9.400000000000006,9
2019-07-05T00:00:00Z,88.2,91,48.6,79,82,9.200000000000003,9
2019-07-05T01:00:00Z,87.9,90.3,48.6,79,82,8.900000000000006,8.299999999999997
2019-07-05T02:00:00Z,87.8,90,49,78.1,80,9.700000000000003,10
2019-07-05T03:00:00Z,87.4,89.6,48.5,77,78,10.400000000000006,11.599999999999994
2019-07-05T04:00:00Z,87.4,90,49.7,77,78,10.400000000000006,12
2019-07-05T05:00:00Z,87.3,89.9,49.4,78.1,81,9.200000000000003,8.900000000000006
2019-07-05T06:00:00Z,87.2,89.5,49.6,78.1,81,9.100000000000009,8.5
2019-07-05T07:00:00Z,87.3,90,50.5,79,83,8.299999999999997,7
2019-07-05T08:00:00Z,87.4,90.2,49.9,80.1,85,7.300000000000011,5.200000000000003
2019-07-05T09:00:00Z,87.3,90,49.9,82.9,89,4.3999999999999915,1
2019-07-05T10:00:00Z,87.4,90.1,50.6,86,94,1.4000000000000057,-3.9000000000000057
2019-07-05T11:00:00Z,87.7,91,51,88,97,-0.29999999999999716,-6
2019-07-05T12:00:00Z,88.2,91.8,51.4,89.1,99,-0.8999999999999915,-7.200000000000003
2019-07-05T13:00:00Z,88.8,93.3,51.9,89.1,98,-0.29999999999999716,-4.700000000000003
2019-07-05T14:00:00Z,89.4,94.3,52.1,90,101,-0.5999999999999943,-6.700000000000003
2019-07-05T15:00:00Z,90.1,96.9,54.1,91,104,-0.9000000000000057,-7.099999999999994
2019-07-05T16:00:00Z,91,100.9,58.2,90,98,1,2.9000000000000057
2019-07-05T17:00:00Z,91.2,100.7,56.8,88,95,3.200000000000003,5.700000000000003
2019-07-05T18:00:00Z,91.4,100.1,55.2,86,93,5.400000000000006,7.099999999999994
2019-07-05T19:00:00Z,91.4,99.4,53.9,84.9,92,6.5,7.400000000000006
2019-07-05T20:00:00Z,91.2,98.6,53.4,84,89,7.200000000000003,9.599999999999994
2019-07-05T21:00:00Z,90.7,97.3,52.4,82.9,89,7.799999999999997,8.299999999999997
2019-07-05T22:00:00Z,90.4,96,51.2,82,87,8.400000000000006,9
2019-07-05T23:00:00Z,90.1,94.7,50,81,86,9.099999999999994,8.700000000000003
2019-07-06T00:00:00Z,89.6,93.9,49.8,80.1,84,9.5,9.900000000000006
2019-07-06T01:00:00Z,89.3,93,49.6,81,85,8.299999999999997,8
2019-07-06T02:00:00Z,89,92.5,49.6,80.1,85,8.900000000000006,7.5
2019-07-06T03:00:00Z,88.8,92.3,50.3,79,83,9.799999999999997,9.299999999999997
2019-07-06T04:00:00Z,88.6,92,50.4,79,83,9.599999999999994,9
2019-07-06T05:00:00Z,88.3,92,50.6,78.1,81,10.200000000000003,11
2019-07-06T06:00:00Z,88.1,91.2,50.2,79,83,9.099999999999994,8.200000000000003
2019-07-06T07:00:00Z,87.9,91,50.8,82,89,5.900000000000006,2
2019-07-06T08:00:00Z,88.1,91.8,51.3,84.9,92,3.1999999999999886,-0.20000000000000284
2019-07-06T09:00:00Z,88.2,91.2,49.3,86,94,2.200000000000003,-2.799999999999997
2019-07-06T10:00:00Z,88.5,91.7,49.5,90,98,-1.5,-6.299999999999997
2019-07-06T11:00:00Z,89,92.8,50.1,90,97,-1,-4.200000000000003
2019-07-06T12:00:00Z,89.7,94.2,50.5,93.9,102,-4.200000000000003,-7.799999999999997
2019-07-06T13:00:00Z,90.4,95.5,50.5,93,104,-2.5999999999999943,-8.5
2019-07-06T14:00:00Z,90.9,96.9,51.1,90,101,0.9000000000000057,-4.099999999999994
2019-07-06T15:00:00Z,91.4,98.1,51.6,93.9,103,-2.5,-4.900000000000006
2019-07-06T16:00:00Z,91.8,99.1,51.9,93.9,106,-2.1000000000000085,-6.900000000000006
2019-07-06T17:00:00Z,92,100.1,52.1,93.9,98,-1.9000000000000057,2.0999999999999943
2019-07-06T18:00:00Z,92.4,100.8,52.1,93,98,-0.5999999999999943,2.799999999999997
2019-07-06T19:00:00Z,92.5,100.7,51.7,91,97,1.5,3.700000000000003
2019-07-06T20:00:00Z,92.4,99.6,50.8,78.1,80,14.300000000000011,19.599999999999994
2019-07-06T21:00:00Z,91.5,96.3,47.4,75.9,77,15.599999999999994,19.299999999999997
2019-07-06T22:00:00Z,91.1,95.8,47.9,75.9,77,15.199999999999989,18.799999999999997
2019-07-06T23:00:00Z,90.7,95,48.5,75.9,77,14.799999999999997,18
2019-07-07T00:00:00Z,90.3,94.9,49.1,75.9,77,14.399999999999991,17.900000000000006
2019-07-07T01:00:00Z,90,94.5,49.4,75.9,77,14.099999999999994,17.5
2019-07-07T02:00:00Z,89.6,93.7,49.3,75,76,14.599999999999994,17.700000000000003
2019-07-07T03:00:00Z,89.3,93,49.5,75,76,14.299999999999997,17
2019-07-07T04:00:00Z,88.9,92.3,49,75,76,13.900000000000006,16.299999999999997
2019-07-07T05:00:00Z,88.4,91,48.7,75.9,77,12.5,14
2019-07-07T06:00:00Z,88.1,91,49,75.9,77,12.199999999999989,14
2019-07-07T07:00:00Z,87.9,90.5,49.2,77,78,10.900000000000006,12.5
2019-07-07T08:00:00Z,87.8,90,48.8,79,82,8.799999999999997,8
2019-07-07T09:00:00Z,87.7,89.9,47.8,81,85,6.700000000000003,4.900000000000006
2019-07-07T10:00:00Z,88,91.1,49.9,82,87,6,4.099999999999994
2019-07-07T11:00:00Z,88.3,92,51,82.9,88,5.3999999999999915,4
2019-07-07T12:00:00Z,88.4,92,50.7,84,91,4.400000000000006,1
2019-07-07T13:00:00Z,88.7,92.8,50.9,84.9,92,3.799999999999997,0.7999999999999972
2019-07-07T14:00:00Z,89.1,93.5,50.9,87.1,95,2,-1.5
2019-07-07T15:00:00Z,89.6,94.1,51.1,87.1,95,2.5,-0.9000000000000057
2019-07-07T16:00:00Z,89.9,95.1,51.9,82,89,7.900000000000006,6.099999999999994
2019-07-07T17:00:00Z,90.2,96,51.5,84,90,6.200000000000003,6
2019-07-07T18:00:00Z,90.3,96.1,51.8,82,87,8.299999999999997,9.099999999999994
2019-07-07T19:00:00Z,90.2,95.5,50.8,79,82,11.200000000000003,13.5
2019-07-07T20:00:00Z,89.7,93.1,48.1,79,83,10.700000000000003,10.099999999999994
2019-07-07T21:00:00Z,89.7,94.2,50.4,79,82,10.700000000000003,12.200000000000003
2019-07-07T22:00:00Z,89.5,94.6,52,78.1,81,11.400000000000006,13.599999999999994
2019-07-07T23:00:00Z,89.1,93.4,51.4,78.1,80,11,13.400000000000006
2019-07-08T00:00:00Z,88.8,93,51,77,78,11.799999999999997,15
2019-07-08T01:00:00Z,88.4,92,51,77,79,11.400000000000006,13
2019-07-08T02:00:00Z,88.1,91.7,51,75,76,13.099999999999994,15.700000000000003
2019-07-08T03:00:00Z,88.2,92,52,75,76,13.200000000000003,16
2019-07-08T04:00:00Z,88.3,92.3,52.2,73.9,75,14.399999999999991,17.299999999999997
2019-07-08T05:00:00Z,88.1,92,51.8,75,76,13.099999999999994,16
2019-07-08T06:00:00Z,87.6,90.7,51.2,75,76,12.599999999999994,14.700000000000003
2019-07-08T07:00:00Z,86.8,89.8,51.8,75,76,11.799999999999997,13.799999999999997
2019-07-08T08:00:00Z,87,91.5,55.5,73.9,75,13.099999999999994,16.5
2019-07-08T09:00:00Z,86.8,90.9,55.4,73,74,13.799999999999997,16.900000000000006
2019-07-08T10:00:00Z,86.5,89.9,54.1,73,74,13.5,15.900000000000006
2019-07-08T11:00:00Z,86.1,89,54,73,74,13.099999999999994,15
2019-07-08T12:00:00Z,86.2,90,54.8,73.9,75,12.299999999999997,15
2019-07-08T13:00:00Z,86.5,91.2,58,73,74,13.5,17.200000000000003
2019-07-08T14:00:00Z,86.4,90.5,56.5,77,78,9.400000000000006,12.5
2019-07-08T15:00:00Z,86.3,90,55.5,80.1,82,6.200000000000003,8
2019-07-08T16:00:00Z,86.4,90,54,77,77,9.400000000000006,13
2019-07-08T17:00:00Z,86.4,89,52.9,78.1,79,8.300000000000011,10
2019-07-08T18:00:00Z,86.3,89,52,77,77,9.299999999999997,12
2019-07-08T19:00:00Z,86.4,89.5,52.4,77,77,9.400000000000006,12.5
2019-07-08T20:00:00Z,86.5,89.9,53.2,75,75,11.5,14.900000000000006
2019-07-08T21:00:00Z,85.4,86.5,48.5,73.9,74,11.5,12.5
2019-07-08T22:00:00Z,85.3,86,48.1,73.9,74,11.399999999999991,12
2019-07-08T23:00:00Z,84.9,85.7,47.2,73.9,74,11,11.700000000000003
2019-07-09T00:00:00Z,84.6,85.1,48,72,73,12.599999999999994,12.099999999999994
2019-07-09T01:00:00Z,84.4,85.1,48.7,71.1,72,13.300000000000011,13.099999999999994
2019-07-09T02:00:00Z,84.2,85,49.2,70,71,14.200000000000003,14
2019-07-09T03:00:00Z,84,85,49.5,70,71,14,14
2019-07-09T04:00:00Z,83.7,84.8,49.6,69.1,70,14.600000000000009,14.799999999999997
2019-07-09T05:00:00Z,83.6,84.5,50,69.1,70,14.5,14.5
2019-07-09T06:00:00Z,83.5,84.1,50.1,72,72,11.5,12.099999999999994
2019-07-09T07:00:00Z,83.5,84.4,49.9,73.9,74,9.599999999999994,10.400000000000006
2019-07-09T08:00:00Z,82.9,83.2,47.5,77,77,5.900000000000006,6.200000000000003
2019-07-09T09:00:00Z,83.3,84.2,49.4,80.1,82,3.200000000000003,2.200000000000003
2019-07-09T10:00:00Z,85.2,88.7,56.6,84.9,88,0.29999999999999716,0.7000000000000028
2019-07-09T11:00:00Z,85.8,89.1,54.9,86,89,-0.20000000000000284,0.09999999999999432
2019-07-09T12:00:00Z,85.8,88.7,53.8,84.9,88,0.8999999999999915,0.7000000000000028
2019-07-09T13:00:00Z,86.4,89.4,53.3,84.9,88,1.5,1.4000000000000057
2019-07-09T14:00:00Z,87.2,90.8,53.1,87.1,91,0.10000000000000853,-0.20000000000000284
2019-07-09T15:00:00Z,87.8,91.6,52.2,87.1,91,0.7000000000000028,0.5999999999999943
2019-07-09T16:00:00Z,88.4,92.6,52.5,84.9,88,3.5,4.599999999999994
2019-07-09T17:00:00Z,88.8,94.3,54.4,84,87,4.799999999999997,7.299999999999997
2019-07-09T18:00:00Z,89.1,95.2,55.7,84.9,88,4.199999999999989,7.200000000000003
2019-07-09T19:00:00Z,89.1,95,54.6,82.9,86,6.199999999999989,9
2019-07-09T20:00:00Z,88.7,93.4,52.3,82,84,6.700000000000003,9.400000000000006
2019-07-09T21:00:00Z,88.2,91.4,50.1,80.1,83,8.100000000000009,8.400000000000006
2019-07-09T22:00:00Z,87.8,90.4,48.9,78.1,79,9.700000000000003,11.400000000000006
2019-07-09T23:00:00Z,87.4,89.3,47.8,78.1,79,9.300000000000011,10.299999999999997
2019-07-10T00:00:00Z,87,88.5,47.1,75.9,77,11.099999999999994,11.5
2019-07-10T01:00:00Z,86.5,87.5,46.3,75,76,11.5,11.5
2019-07-10T02:00:00Z,86.1,87,46.1,73.9,75,12.199999999999989,12
2019-07-10T03:00:00Z,85.6,86.3,46.3,73,74,12.599999999999994,12.299999999999997
2019-07-10T04:00:00Z,85.4,86,47.1,72,73,13.400000000000006,13
2019-07-10T05:00:00Z,85.2,86,47.5,73,74,12.200000000000003,12
2019-07-10T06:00:00Z,84.9,86,48,75,76,9.900000000000006,10
2019-07-10T07:00:00Z,85,86,48.2,79,81,6,5
2019-07-10T08:00:00Z,85.4,87.1,50.2,81,83,4.400000000000006,4.099999999999994
2019-07-10T09:00:00Z,86.2,89.6,54,82.9,85,3.299999999999997,4.599999999999994
2019-07-10T10:00:00Z,86.6,90,53.6,84,86,2.5999999999999943,4
2019-07-10T11:00:00Z,86.9,90.1,53,87.1,89,-0.19999999999998863,1.0999999999999943
2019-07-10T12:00:00Z,87.4,91,52.6,88,91,-0.5999999999999943,0
2019-07-10T13:00:00Z,88.4,94.2,55.9,87.1,89,1.3000000000000114,5.200000000000003
2019-07-10T14:00:00Z,89.1,95.2,55.4,88,91,1.0999999999999943,4.200000000000003
2019-07-10T15:00:00Z,89.4,95,53.4,89.1,92,0.30000000000001137,3
2019-07-10T16:00:00Z,89.8,95,52.2,89.1,93,0.7000000000000028,2
2019-07-10T17:00:00Z,89.9,95.5,52.3,86,89,3.9000000000000057,6.5
2019-07-10T18:00:00Z,90,95.9,52.8,84.9,88,5.099999999999994,7.900000000000006
2019-07-10T19:00:00Z,89.9,95,51.8,82.9,85,7,10
2019-07-10T20:00:00Z,89.6,93.6,49.5,82,84,7.599999999999994,9.599999999999994
2019-07-10T21:00:00Z,89.1,93,50,81,83,8.099999999999994,10
2019-07-10T22:00:00Z,89,92.8,50.1,80.1,82,8.900000000000006,10.799999999999997
2019-07-10T23:00:00Z,88.6,91.6,48.7,78.1,79,10.5,12.599999999999994
2019-07-11T00:00:00Z,88.3,91,48.4,78.1,78,10.200000000000003,13
2019-07-11T01:00:00Z,88,90.3,48.1,78.1,79,9.900000000000006,11.299999999999997
2019-07-11T02:00:00Z,87.7,90,47.8,77,78,10.700000000000003,12
2019-07-11T03:00:00Z,87.4,89.3,48.1,77,78,10.400000000000006,11.299999999999997
2019-07-11T04:00:00Z,87.3,89.1,48.4,77,78,10.299999999999997,11.099999999999994
2019-07-11T05:00:00Z,87.1,89,48.5,77,78,10.099999999999994,11
2019-07-11T06:00:00Z,87,89.4,49.9,77,78,10,11.400000000000006
2019-07-11T07:00:00Z,86.7,89.1,50.6,78.1,81,8.600000000000009,8.099999999999994
2019-07-11T08:00:00Z,86.5,88.9,50.3,80.1,84,6.400000000000006,4.900000000000006
2019-07-11T09:00:00Z,86.7,89.5,51.5,84,91,2.700000000000003,-1.5
2019-07-11T10:00:00Z,87,90.1,52.4,84.9,92,2.0999999999999943,-1.9000000000000057
2019-07-11T11:00:00Z,87.4,91,53,86,96,1.4000000000000057,-5
2019-07-11T12:00:00Z,87.7,91.6,53.1,80.1,85,7.6000000000000085,6.599999999999994
2019-07-11T13:00:00Z,87.9,92.5,54.3,84.9,94,3,-1.5
2019-07-11T14:00:00Z,88.4,93.8,55,86,97,2.4000000000000057,-3.200000000000003
2019-07-11T15:00:00Z,88.6,94.7,55.6,87.1,99,1.5,-4.299999999999997
2019-07-11T16:00:00Z,89,96.2,57.7,79,83,10,13.200000000000003
2019-07-11T17:00:00Z,89,95.6,56.6,79,82,10,13.599999999999994
2019-07-11T18:00:00Z,88.9,95.8,57.2,78.1,81,10.800000000000011,14.799999999999997
2019-07-11T19:00:00Z,88.6,94.4,55.8,75.9,78,12.699999999999989,16.400000000000006
2019-07-11T20:00:00Z,88.1,92.7,53.6,75.9,77,12.199999999999989,15.700000000000003
2019-07-11T21:00:00Z,87.5,90.9,51.6,75.9,78,11.599999999999994,12.900000000000006
2019-07-11T22:00:00Z,87.2,90.4,52.3,75,76,12.200000000000003,14.400000000000006
2019-07-11T23:00:00Z,87,90,52.5,73.9,75,13.099999999999994,15
2019-07-12T00:00:00Z,86.6,89.4,51.7,73.9,75,12.699999999999989,14.400000000000006
2019-07-12T01:00:00Z,86.3,88.5,51,73,74,13.299999999999997,14.5
2019-07-12T02:00:00Z,86,88.1,51.1,73,74,13,14.099999999999994
2019-07-12T03:00:00Z,85.6,87.4,50.5,72,73,13.599999999999994,14.400000000000006
2019-07-12T04:00:00Z,85.4,87,50.9,72,73,13.400000000000006,14
2019-07-12T05:00:00Z,85.3,87,50.9,72,73,13.299999999999997,14
2019-07-12T06:00:00Z,85.1,87,51.2,73,74,12.099999999999994,13
2019-07-12T07:00:00Z,85.1,86.8,50.7,75.9,77,9.199999999999989,9.799999999999997
2019-07-12T08:00:00Z,85.2,87,52.2,78.1,80,7.1000000000000085,7
2019-07-12T09:00:00Z,85.3,87,51.9,82,85,3.299999999999997,2
2019-07-12T10:00:00Z,85.4,87.7,51.8,84.9,89,0.5,-1.2999999999999972
2019-07-12T11:00:00Z,85.7,88,51.9,87.1,91,-1.3999999999999915,-3
2019-07-12T12:00:00Z,86.2,88.8,51.9,89.1,92,-2.8999999999999915,-3.200000000000003
