date_hour_minute,mean_indoor_temperature,mean_indoor_heat_index,mean_indoor_relative_humidity,mean_outdoor_temperature,mean_outdoor_heat_index,indoor_temperature_difference,indoor_heat_index_difference
2019-07-03T13:54:00Z,95.2,95,30.5,91.9,97,3.299999999999997,-2
2019-07-03T13:55:00Z,93.9,95,34.6,91.9,97,2,-2
2019-07-03T13:57:00Z,90.7,90,34.3,91.9,97,-1.2000000000000028,-7
2019-07-03T13:58:00Z,90,91,42,91.9,97,-1.9000000000000057,-6
2019-07-03T13:59:00Z,90.1,92,42.2,91.9,97,-1.8000000000000114,-5
2019-07-03T14:00:00Z,90.1,92,42.3,91.9,96,-1.8000000000000114,-4
2019-07-03T14:02:00Z,90.1,92,42.3,91.9,96,-1.8000000000000114,-4
2019-07-03T14:03:00Z,90.1,92,42.3,91.9,96,-1.8000000000000114,-4
2019-07-03T14:04:00Z,90.1,92,42.6,91.9,96,-1.8000000000000114,-4
2019-07-03T14:05:00Z,90.1,92,42.8,91.9,96,-1.8000000000000114,-4
2019-07-03T14:07:00Z,90,92,43.5,91.9,96,-1.9000000000000057,-4
2019-07-03T14:08:00Z,90,92,43.4,91.9,96,-1.9000000000000057,-4
2019-07-03T14:09:00Z,89.8,91,43.3,91.9,96,-2.1000000000000085,-5
2019-07-03T14:10:00Z,89.8,91,43.3,91.9,96,-2.1000000000000085,-5
2019-07-03T14:12:00Z,89.8,92,43.6,91.9,96,-2.1000000000000085,-4
2019-07-03T14:13:00Z,89.8,92,43.6,91.9,96,-2.1000000000000085,-4
2019-07-03T14:14:00Z,89.6,91,43.6,91.9,96,-2.3000000000000114,-5
2019-07-03T14:15:00Z,89.6,91,43.7,91.9,96,-2.3000000000000114,-5
2019-07-03T14:17:00Z,89.6,91,43.9,91.9,96,-2.3000000000000114,-5
2019-07-03T14:18:00Z,89.4,91,44.1,91.9,96,-2.5,-5
2019-07-03T14:19:00Z,89.6,92,44.1,91.9,96,-2.3000000000000114,-4
2019-07-03T14:21:00Z,89.6,92,44.3,91.9,96,-2.3000000000000114,-4
2019-07-03T14:22:00Z,89.4,91,44.2,91.9,96,-2.5,-5
2019-07-03T14:23:00Z,89.4,91,44.5,91.9,96,-2.5,-5
2019-07-03T14:24:00Z,89.4,91,44.4,91.9,96,-2.5,-5
2019-07-03T14:26:00Z,89.4,91,44.7,91.9,96,-2.5,-5
2019-07-03T14:27:00Z,89.2,91,44.6,91.9,96,-2.700000000000003,-5
2019-07-03T14:28:00Z,89.4,92,46.1,91.9,96,-2.5,-4
2019-07-03T14:29:00Z,89.4,92,45.3,91.9,96,-2.5,-4
2019-07-03T14:31:00Z,89.2,91,45,91.9,96,-2.700000000000003,-5
2019-07-03T14:32:00Z,89.2,91,44.8,91.9,96,-2.700000000000003,-5
2019-07-03T14:33:00Z,89.2,91,45.5,91.9,96,-2.700000000000003,-5
2019-07-03T14:34:00Z,89.2,92,45.8,91.9,96,-2.700000000000003,-4
2019-07-03T14:36:00Z,89.2,92,46.3,91.9,96,-2.700000000000003,-4
2019-07-03T14:37:00Z,89.2,92,46.2,91.9,96,-2.700000000000003,-4
2019-07-03T14:38:00Z,89.2,92,46.7,91.9,96,-2.700000000000003,-4
2019-07-03T14:39:00Z,89.2,92,46.9,91.9,96,-2.700000000000003,-4
2019-07-03T14:41:00Z,89.2,92,46.8,91.9,96,-2.700000000000003,-4
2019-07-03T14:42:00Z,89.2,92,47,91.9,96,-2.700000000000003,-4
2019-07-03T14:43:00Z,89.2,92,47.8,91.9,96,-2.700000000000003,-4
2019-07-03T14:44:00Z,89.4,93,48.4,91.9,96,-2.5,-3
2019-07-03T14:46:00Z,89.2,92,48.1,91.9,96,-2.700000000000003,-4
2019-07-03T14:47:00Z,89.4,93,47.8,91.9,96,-2.5,-3
2019-07-03T14:48:00Z,89.2,92,47.6,91.9,96,-2.700000000000003,-4
2019-07-03T14:49:00Z,89.4,93,49.6,91.9,96,-2.5,-3
2019-07-03T14:51:00Z,89.4,93,49.9,91.9,96,-2.5,-3
2019-07-03T14:52:00Z,89.4,94,50.3,91.9,96,-2.5,-2
2019-07-03T14:53:00Z,89.4,94,50.6,91.9,96,-2.5,-2
2019-07-03T14:54:00Z,89.4,94,50.5,91.9,96,-2.5,-2
2019-07-03T14:56:00Z,89.4,94,51,91.9,96,-2.5,-2
2019-07-03T14:57:00Z,89.4,94,51,91.9,96,-2.5,-2
2019-07-03T14:58:00Z,89.4,94,51.2,91.9,96,-2.5,-2
2019-07-03T14:59:00Z,89.4,94,51.1,91.9,96,-2.5,-2
2019-07-03T15:01:00Z,89.4,94,51.6,91,95,-1.5999999999999943,-1
2019-07-03T15:02:00Z,89.4,94,51.8,91,95,-1.5999999999999943,-1
2019-07-03T15:03:00Z,89.4,94,51.6,91,95,-1.5999999999999943,-1
2019-07-03T15:04:00Z,89.6,95,52,91,95,-1.4000000000000057,0
2019-07-03T15:06:00Z,89.4,94,52.1,91,95,-1.5999999999999943,-1
2019-07-03T15:07:00Z,89.4,95,52.6,91,95,-1.5999999999999943,0
2019-07-03T15:08:00Z,89.6,95,52.6,91,95,-1.4000000000000057,0
2019-07-03T15:09:00Z,89.6,95,52.4,91,95,-1.4000000000000057,0
2019-07-03T15:11:00Z,89.6,95,52.6,91,95,-1.4000000000000057,0
2019-07-03T15:12:00Z,89.6,95,52,91,95,-1.4000000000000057,0
2019-07-03T15:13:00Z,89.6,95,52.8,91,95,-1.4000000000000057,0
2019-07-03T15:14:00Z,89.6,95,52.7,91,95,-1.4000000000000057,0
2019-07-03T15:16:00Z,89.6,95,52.2,91,95,-1.4000000000000057,0
2019-07-03T15:17:00Z,89.6,95,52.5,91,95,-1.4000000000000057,0
2019-07-03T15:18:00Z,89.6,95,52.7,91,95,-1.4000000000000057,0
2019-07-03T15:19:00Z,89.6,95,52.7,91,95,-1.4000000000000057,0
2019-07-03T15:21:00Z,89.8,95,52.6,91,95,-1.2000000000000028,0
2019-07-03T15:22:00Z,89.8,95,52.6,91,95,-1.2000000000000028,0
2019-07-03T15:23:00Z,89.8,95,52.8,91,95,-1.2000000000000028,0
2019-07-03T15:24:00Z,89.8,95,52.6,91,95,-1.2000000000000028,0
2019-07-03T15:26:00Z,89.8,95,52.7,91,95,-1.2000000000000028,0
2019-07-03T15:27:00Z,89.8,95,52.6,91,95,-1.2000000000000028,0
2019-07-03T15:28:00Z,89.8,95,52.6,91,95,-1.2000000000000028,0
2019-07-03T15:29:00Z,89.8,95,52.7,91,95,-1.2000000000000028,0
2019-07-03T15:31:00Z,89.8,95,52.5,91,95,-1.2000000000000028,0
2019-07-03T15:32:00Z,89.8,96,52.9,91,95,-1.2000000000000028,1
2019-07-03T15:33:00Z,90,96,53,91,95,-1,1
2019-07-03T15:34:00Z,90,96,52.8,91,95,-1,1
2019-07-03T15:36:00Z,90,96,52.7,91,95,-1,1
2019-07-03T15:37:00Z,90,96,52.7,91,95,-1,1
2019-07-03T15:38:00Z,90,96,52.8,91,95,-1,1
2019-07-03T15:39:00Z,90,96,52.7,91,95,-1,1
2019-07-03T15:41:00Z,90,96,52.6,91,95,-1,1
2019-07-03T15:42:00Z,90.1,96,52.6,91,95,-0.9000000000000057,1
2019-07-03T15:43:00Z,90.1,96,52.5,91,95,-0.9000000000000057,1
2019-07-03T15:44:00Z,90.1,96,52.4,91,95,-0.9000000000000057,1
2019-07-03T15:46:00Z,90.1,96,52.3,91,95,-0.9000000000000057,1
