date,mean_indoor_temperature,mean_indoor_heat_index,mean_indoor_relative_humidity,mean_outdoor_temperature,mean_outdoor_heat_index,indoor_temperature_difference,indoor_heat_index_difference
2019-07-20,89.1,96.9,58.2,93.2,102.2,-4.1000000000000085,-5.299999999999997
2019-07-21,88,96.1,61.8,90.9,98.9,-2.9000000000000057,-2.8000000000000114
2019-07-22,86.4,91.2,58.6,84.6,88.6,1.8000000000000114,2.6000000000000085
2019-07-23,81.3,83.9,61.4,74.2,74.6,7.099999999999994,9.300000000000011
2019-07-24,80.5,81.4,54,77.5,77.5,3,3.9000000000000057
2019-07-25,81.8,82.5,49.3,78.8,78.5,3,4
2019-07-26,81.8,82.5,50.4,81.4,80.8,0.3999999999999915,1.7000000000000028
2019-07-27,82.7,84.3,53.6,82.9,83.7,-0.20000000000000284,0.5999999999999943
2019-07-28,83.8,86.3,55.2,84.7,86,-0.9000000000000057,0.29999999999999716
2019-07-29,84.6,88.3,58.5,85.5,88.7,-0.9000000000000057,-0.4000000000000057
2019-07-30,86.2,91.5,59.9,87.4,90.5,-1.2000000000000028,1
2019-07-31,84.7,88.7,59.9,82.7,85,2,3.700000000000003
