date_hour,mean_indoor_temperature,mean_indoor_heat_index,mean_indoor_relative_humidity,mean_outdoor_temperature,mean_outdoor_heat_index,indoor_temperature_difference,indoor_heat_index_difference
2019-07-20T18:00:00Z,91.6,102.5,57.8,96.1,106,-4.5,-3.5
2019-07-20T19:00:00Z,89.7,98.1,58.5,95,103,-5.299999999999997,-4.900000000000006
2019-07-20T20:00:00Z,89.1,96.7,58.1,93.9,103,-4.800000000000011,-6.299999999999997
2019-07-20T21:00:00Z,88.6,95.5,58,91.9,101,-3.3000000000000114,-5.5
2019-07-20T22:00:00Z,88.3,95.3,58.9,91.9,101,-3.6000000000000085,-5.700000000000003
2019-07-20T23:00:00Z,88,94.3,58.2,91,100,-3,-5.700000000000003
2019-07-21T00:00:00Z,87.2,96.8,67.6,88,97,-0.7999999999999972,-0.20000000000000284
2019-07-21T01:00:00Z,87,96.7,68.2,86,95,1,1.7000000000000028
2019-07-21T02:00:00Z,87.1,96.1,66.1,86,95,1.0999999999999943,1.0999999999999943
2019-07-21T03:00:00Z,87,95.2,65.2,86,94,1,1.2000000000000028
2019-07-21T04:00:00Z,86.8,94.5,64.3,84,91,2.799999999999997,3.5
2019-07-21T05:00:00Z,86.5,94,65.2,84,90,2.5,4
2019-07-21T06:00:00Z,86.2,93.4,65.1,86,93,0.20000000000000284,0.4000000000000057
2019-07-21T07:00:00Z,86.4,93.1,63,88,96,-1.5999999999999943,-2.9000000000000057
2019-07-21T08:00:00Z,86.8,93.9,62.7,90,98,-3.200000000000003,-4.099999999999994
2019-07-21T09:00:00Z,87.4,94.8,62.3,93,103,-5.599999999999994,-8.200000000000003
2019-07-21T10:00:00Z,88,96.1,62.2,95,106,-7,-9.900000000000006
2019-07-21T11:00:00Z,88,95.2,60.1,96.1,105,-8.099999999999994,-9.799999999999997
2019-07-21T12:00:00Z,88,96.2,62,97,106,-9,-9.799999999999997
2019-07-21T13:00:00Z,89.1,99,62.8,100,111,-10.900000000000006,-12
2019-07-21T14:00:00Z,89.8,98.1,58.4,98.1,107,-8.299999999999997,-8.900000000000006
2019-07-21T15:00:00Z,89.7,98,58.1,99,110,-9.299999999999997,-12
2019-07-21T16:00:00Z,89.7,99.8,61.2,99,111,-9.299999999999997,-11.200000000000003
2019-07-21T17:00:00Z,90,101,62.3,98.1,106,-8.099999999999994,-5
2019-07-21T18:00:00Z,89.8,100.1,61.4,97,106,-7.200000000000003,-5.900000000000006
2019-07-21T19:00:00Z,89.6,98.9,60.4,96.1,106,-6.5,-7.099999999999994
2019-07-21T20:00:00Z,89.3,97.4,58.8,88,92,1.2999999999999972,5.400000000000006
2019-07-21T21:00:00Z,88.6,93.7,54.1,84.9,88,3.6999999999999886,5.700000000000003
2019-07-21T22:00:00Z,87.9,93,55.4,81,84,6.900000000000006,9
2019-07-21T23:00:00Z,87.4,92.5,57,82,85,5.400000000000006,7.5
2019-07-22T00:00:00Z,86.9,92,57.9,81,85,5.900000000000006,7
2019-07-22T01:00:00Z,86.6,92,58.9,80.1,83,6.5,9
2019-07-22T02:00:00Z,86.3,91.3,59,80.1,83,6.200000000000003,8.299999999999997
2019-07-22T03:00:00Z,85.9,91,59.5,81,84,4.900000000000006,7
2019-07-22T04:00:00Z,85.6,90.5,60.7,80.1,83,5.5,7.5
