date_hour_minute,mean_indoor_temperature,mean_indoor_heat_index,mean_indoor_relative_humidity,mean_outdoor_temperature,mean_outdoor_heat_index,indoor_temperature_difference,indoor_heat_index_difference
2019-07-20T18:11:00Z,96.3,116,58.5,96.1,106,0.20000000000000284,10
2019-07-20T18:12:00Z,95.7,119,64.1,96.1,106,-0.3999999999999915,13
2019-07-20T18:14:00Z,94.6,109,56.2,96.1,106,-1.5,3
2019-07-20T18:15:00Z,94.1,107,56,96.1,106,-2,1
2019-07-20T18:16:00Z,93.6,107,57.1,96.1,106,-2.5,1
2019-07-20T18:17:00Z,93.2,106,57.2,96.1,106,-2.8999999999999915,0
2019-07-20T18:18:00Z,92.8,105,58,96.1,106,-3.299999999999997,-1
2019-07-20T18:19:00Z,92.7,105,57.9,96.1,106,-3.3999999999999915,-1
2019-07-20T18:20:00Z,92.3,104,57.4,96.1,106,-3.799999999999997,-2
2019-07-20T18:22:00Z,92.1,103,57.7,96.1,106,-4,-3
2019-07-20T18:23:00Z,92.1,103,57.5,96.1,106,-4,-3
2019-07-20T18:24:00Z,91.9,103,57.6,96.1,106,-4.199999999999989,-3
2019-07-20T18:25:00Z,91.8,103,58.3,96.1,106,-4.299999999999997,-3
2019-07-20T18:26:00Z,91.6,103,58.4,96.1,106,-4.5,-3
2019-07-20T18:27:00Z,91.6,103,58.6,96.1,106,-4.5,-3
2019-07-20T18:29:00Z,91.4,102,57.6,96.1,106,-4.699999999999989,-4
2019-07-20T18:30:00Z,91.4,102,57.6,96.1,106,-4.699999999999989,-4
2019-07-20T18:31:00Z,91.2,101,57.5,96.1,106,-4.8999999999999915,-5
2019-07-20T18:32:00Z,91,101,57.4,96.1,106,-5.099999999999994,-5
2019-07-20T18:33:00Z,91,101,57.4,96.1,106,-5.099999999999994,-5
2019-07-20T18:34:00Z,91,100,56.5,96.1,106,-5.099999999999994,-6
2019-07-20T18:36:00Z,90.9,100,57,96.1,106,-5.199999999999989,-6
2019-07-20T18:37:00Z,90.9,100,57,96.1,106,-5.199999999999989,-6
2019-07-20T18:38:00Z,90.9,100,57.2,96.1,106,-5.199999999999989,-6
2019-07-20T18:39:00Z,90.7,100,57.3,96.1,106,-5.3999999999999915,-6
2019-07-20T18:40:00Z,90.7,100,57.6,96.1,106,-5.3999999999999915,-6
2019-07-20T18:41:00Z,90.7,100,57.3,96.1,106,-5.3999999999999915,-6
2019-07-20T18:42:00Z,90.7,100,57.5,96.1,106,-5.3999999999999915,-6
2019-07-20T18:44:00Z,90.5,99,57.3,96.1,106,-5.599999999999994,-7
2019-07-20T18:45:00Z,90.5,100,58.2,96.1,106,-5.599999999999994,-6
2019-07-20T18:46:00Z,90.5,100,57.9,96.1,106,-5.599999999999994,-6
2019-07-20T18:47:00Z,90.3,99,57.1,96.1,106,-5.799999999999997,-7
2019-07-20T18:48:00Z,90.3,100,58.6,96.1,106,-5.799999999999997,-6
2019-07-20T18:49:00Z,90.3,99,57.3,96.1,106,-5.799999999999997,-7
2019-07-20T18:51:00Z,90.3,99,57.6,96.1,106,-5.799999999999997,-7
2019-07-20T18:52:00Z,90.3,99,57.7,96.1,106,-5.799999999999997,-7
2019-07-20T18:53:00Z,90.3,99,57.9,96.1,106,-5.799999999999997,-7
2019-07-20T18:54:00Z,90.3,99,58.1,96.1,106,-5.799999999999997,-7
2019-07-20T18:55:00Z,90.1,99,58.3,96.1,106,-6,-7
2019-07-20T18:56:00Z,90.1,99,57.8,96.1,106,-6,-7
2019-07-20T18:58:00Z,90.1,99,57.4,96.1,106,-6,-7
2019-07-20T18:59:00Z,90.1,100,59.1,96.1,106,-6,-6
2019-07-20T19:00:00Z,90.1,99,58.8,95,103,-4.900000000000006,-4
2019-07-20T19:01:00Z,90.1,99,58.8,95,103,-4.900000000000006,-4
2019-07-20T19:02:00Z,90.1,99,58.3,95,103,-4.900000000000006,-4
2019-07-20T19:03:00Z,90,99,58.1,95,103,-5,-4
2019-07-20T19:04:00Z,90,98,58,95,103,-5,-5
2019-07-20T19:06:00Z,90,99,58.4,95,103,-5,-4
2019-07-20T19:07:00Z,90.1,99,58.1,95,103,-4.900000000000006,-4
2019-07-20T19:08:00Z,90,98,57.7,95,103,-5,-5
2019-07-20T19:09:00Z,90.1,99,57.7,95,103,-4.900000000000006,-4
2019-07-20T19:10:00Z,90,98,57.7,95,103,-5,-5
2019-07-20T19:11:00Z,90,98,57.8,95,103,-5,-5
